,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,ATL,NBA,PF,80,80,36.0,7.7,15.2,0.506,0.1,0.4,0.241,7.6,14.9,0.512,0.509,2.5,3.8,0.653,4.2,8.7,12.9,2.1,0.9,0.5,2.7,3.3,17.9,2878,10.5,20.8,0.506,0.1,0.5,0.241,10.4,20.3,0.512,3.4,5.1,0.653,5.7,11.8,17.6,2.8,1.2,0.7,3.6,4.5,24.5,107,108,2878,17.4,0.531,0.024,0.246,12.5,27.9,19.9,8.9,1.2,0.9,13.6,22.5,3.0,3.0,6.0,0.099,0.1,-1.7,-1.5,0.3,82.0,19830.0,3392.0,7272.0,0.466,382.0,1076.0,0.355,3010.0,6196.0,0.486,1648.0,2221.0,0.742,1290.0,2344.0,3634.0,2084.0,806.0,278.0,1339.0,1807.0,8814.0,82.0,19830.0,3509.0,7074.0,0.496,281.0,833.0,0.337,3228.0,6241.0,0.517,1586.0,2092.0,0.758,1080.0,2413.0,3493.0,2189.0,735.0,363.0,1363.0,1881.0,8885.0,43,39,39,43,-0.87,0.2,-0.67,109.3,110.2,97.6,0.305,0.148,0.493,14.0,34.8,0.227,0.516,14.6,68.5,0.224,Omni Coliseum,491229,0,0,0.0,0.0,0.0,0.0,6117,2981,-0.236478944,-0.63439026,-0.870869204,2.842707892,2.845111706,-0.002403814,0.028005985,-0.330465775,-0.30245979,-0.272814672,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Kevin Willis,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,ATL,NBA,PF,80,80,35.8,7.8,15.7,0.499,0.1,0.3,0.375,7.7,15.4,0.501,0.502,3.4,4.7,0.713,4.2,7.9,12.0,1.9,1.0,0.5,2.4,3.1,19.1,2867,11.1,22.3,0.499,0.2,0.4,0.375,11.0,21.9,0.501,4.8,6.7,0.713,6.0,11.2,17.1,2.7,1.4,0.7,3.3,4.4,27.2,110,100,2867,19.4,0.538,0.019,0.299,12.8,24.2,18.5,8.7,1.4,0.9,11.7,24.1,5.1,5.1,10.2,0.17,1.3,-0.9,0.4,1.7,82.0,19755.0,3247.0,7039.0,0.461,268.0,830.0,0.323,2979.0,6209.0,0.48,1556.0,2070.0,0.752,1250.0,2423.0,3673.0,2056.0,915.0,449.0,1252.0,1625.0,8318.0,82.0,19755.0,3163.0,6954.0,0.455,275.0,872.0,0.315,2888.0,6082.0,0.475,1285.0,1732.0,0.742,1157.0,2358.0,3515.0,1897.0,641.0,338.0,1465.0,1722.0,7886.0,57,25,56,26,5.27,-0.33,4.94,107.2,101.7,94.2,0.294,0.118,0.48,13.6,34.6,0.221,0.475,16.0,67.7,0.185,Omni Coliseum,537547,0,0,0.0,0.0,0.0,0.0,6364,3229,0.558660563,0.338078618,0.89673918,5.984736683,5.511109354,0.473627329,0.697743447,0.531529881,1.229273328,-0.377835223,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,ATL,NBA,PF,2,2,44.5,8.0,20.5,0.39,0.0,0.5,0.0,8.0,20.0,0.4,0.39,5.0,7.5,0.667,5.0,13.0,18.0,1.5,0.5,1.5,3.5,3.5,21.0,89,9.6,24.6,0.39,0.0,0.6,0.0,9.6,24.0,0.4,6.0,9.0,0.667,6.0,15.6,21.6,1.8,0.6,1.8,4.2,4.2,25.2,92,101,89,15.2,0.441,0.024,0.366,12.8,34.9,23.6,5.9,0.6,2.5,12.8,27.8,-0.1,0.2,0.1,0.038,-2.6,-1.9,-4.5,0.0,82.0,19855.0,2986.0,6680.0,0.447,539.0,1580.0,0.341,2447.0,5100.0,0.48,1410.0,1948.0,0.724,1104.0,2272.0,3376.0,1757.0,738.0,412.0,1221.0,1804.0,7921.0,82.0,19855.0,3001.0,6485.0,0.463,420.0,1212.0,0.347,2581.0,5273.0,0.489,1394.0,1919.0,0.726,1051.0,2391.0,3442.0,1733.0,608.0,320.0,1359.0,1815.0,7816.0,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,89.8,0.292,0.237,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,504807,0,0,0.0,0.0,0.0,0.0,4673,2390,-1.648061752,-0.507334279,-2.155396031,0.720528216,0.720528216,0.0,-1.197368143,-0.232221549,-1.429589691,-0.239147438,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1994-95,1995,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,MIA,NBA,PF,65,61,35.4,7.0,15.0,0.469,0.0,0.2,0.214,7.0,14.8,0.473,0.471,3.0,4.3,0.691,3.3,7.4,10.7,1.3,0.9,0.5,2.4,3.2,17.1,2301,10.3,21.9,0.469,0.1,0.3,0.214,10.2,21.6,0.473,4.4,6.3,0.691,4.9,10.8,15.6,1.9,1.3,0.7,3.5,4.7,25.0,103,107,2301,16.1,0.506,0.014,0.29,10.8,24.9,17.7,6.1,1.3,1.1,12.4,24.1,1.0,2.6,3.6,0.075,-0.7,-1.8,-2.6,-0.3,82.0,19805.0,3144.0,6738.0,0.467,436.0,1182.0,0.369,2708.0,5556.0,0.487,1569.0,2133.0,0.736,1092.0,2272.0,3364.0,1779.0,662.0,298.0,1291.0,2000.0,8293.0,82.0,19805.0,3092.0,6566.0,0.471,511.0,1417.0,0.361,2581.0,5149.0,0.501,1732.0,2340.0,0.74,1036.0,2355.0,3391.0,1860.0,656.0,385.0,1332.0,1896.0,8427.0,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,92.9,0.317,0.175,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,Miami Arena,598761,0,0,0.0,0.0,0.0,0.0,4673,2390,-1.648061752,-0.507334279,-2.155396031,0.720528216,0.720528216,0.0,-1.197368143,-0.232221549,-1.429589691,-0.239147438,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1995-96,1996,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,MIA,NBA,PF,47,42,28.9,4.1,8.8,0.473,0.0,0.1,0.0,4.1,8.7,0.479,0.473,1.9,2.7,0.712,2.9,6.1,8.9,0.7,0.4,0.5,2.1,3.4,10.2,1357,7.6,16.0,0.473,0.0,0.2,0.0,7.6,15.8,0.479,3.5,4.9,0.712,5.2,11.1,16.3,1.3,0.7,1.0,3.8,6.1,18.6,98,102,1357,12.1,0.513,0.012,0.303,11.8,24.0,18.0,4.2,0.7,1.4,17.5,19.0,-0.1,2.3,2.1,0.076,-2.8,-0.6,-3.4,-0.5,82.0,19780.0,2902.0,6348.0,0.457,552.0,1458.0,0.379,2350.0,4890.0,0.481,1553.0,2187.0,0.71,999.0,2495.0,3494.0,1752.0,574.0,439.0,1394.0,2158.0,7909.0,82.0,19780.0,2734.0,6303.0,0.434,446.0,1237.0,0.361,2288.0,5066.0,0.452,1878.0,2498.0,0.752,982.0,2315.0,3297.0,1645.0,662.0,403.0,1288.0,2031.0,7792.0,42,40,45,37,1.43,0.03,1.46,105.3,103.8,91.1,0.345,0.23,0.501,16.0,30.1,0.245,0.469,14.8,71.8,0.298,Miami Arena,606088,0,0,0.0,0.0,0.0,0.0,4136,2135,-3.324023381,-1.036367166,-4.360390546,-1.736257365,-1.736257365,0.0,-3.160012111,-0.940940284,-4.100952396,0.033255269,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1995-96,1996,Kevin Willis,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,33,GSW,NBA,PF,28,18,27.8,4.6,10.7,0.433,0.0,0.1,0.25,4.6,10.6,0.436,0.435,1.9,2.8,0.701,2.6,5.1,7.8,0.7,0.5,0.6,2.2,3.4,11.3,778,8.6,19.8,0.433,0.1,0.3,0.25,8.5,19.5,0.436,3.6,5.1,0.701,4.9,9.5,14.4,1.3,0.9,1.1,4.1,6.3,20.8,93,109,778,10.9,0.472,0.013,0.257,10.8,21.5,16.1,4.0,0.9,1.5,15.7,22.2,-0.6,0.6,0.1,0.006,-4.5,-2.6,-7.1,-1.0,82.0,19755.0,3056.0,6700.0,0.456,447.0,1199.0,0.373,2609.0,5501.0,0.474,1775.0,2340.0,0.759,1173.0,2285.0,3458.0,1889.0,706.0,470.0,1343.0,1835.0,8334.0,82.0,19755.0,3206.0,6753.0,0.475,477.0,1308.0,0.365,2729.0,5445.0,0.501,1564.0,2097.0,0.746,1114.0,2292.0,3406.0,2098.0,698.0,385.0,1375.0,1959.0,8453.0,36,46,37,45,-1.45,0.03,-1.42,108.4,109.9,93.4,0.349,0.179,0.489,14.8,33.9,0.265,0.51,15.2,67.2,0.232,Oakland-Alameda County Coliseum Arena,616025,0,0,0.0,0.0,0.0,0.0,4136,2135,-3.324023381,-1.036367166,-4.360390546,-1.736257365,-1.736257365,0.0,-3.160012111,-0.940940284,-4.100952396,0.033255269,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,1996-97,1997,Kevin Willis,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,34,HOU,NBA,PF,75,32,26.2,4.7,9.7,0.481,0.0,0.2,0.143,4.6,9.5,0.487,0.482,1.9,2.7,0.693,1.9,5.5,7.5,0.9,0.6,0.4,1.6,2.9,11.2,1964,9.3,19.4,0.481,0.1,0.4,0.143,9.3,19.0,0.487,3.7,5.4,0.693,3.9,11.1,15.0,1.9,1.1,0.9,3.2,5.8,22.5,101,103,1964,14.3,0.515,0.019,0.277,9.1,23.3,16.6,6.2,1.1,1.2,12.7,21.7,0.8,3.0,3.8,0.093,-2.5,-0.9,-3.5,-0.7,82.0,19855.0,3037.0,6484.0,0.468,671.0,1839.0,0.365,2366.0,4645.0,0.509,1503.0,1992.0,0.755,927.0,2565.0,3492.0,2013.0,685.0,347.0,1365.0,1610.0,8248.0,82.0,19855.0,3030.0,6845.0,0.443,519.0,1547.0,0.335,2511.0,5298.0,0.474,1302.0,1785.0,0.729,1029.0,2332.0,3361.0,1835.0,731.0,365.0,1172.0,1735.0,7881.0,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,91.6,0.307,0.284,0.52,15.6,28.4,0.232,0.481,13.3,71.4,0.19,The Summit,667685,75,26.2,-1.67,-0.07,-1.74,1.74,4343,2259,-2.883475822,0.095357873,-2.788117948,-0.064477553,0.239176722,-0.303654275,-2.729983137,0.168688567,-2.56129457,0.048480591,75,51,24,26.2,102.5,5.5,21.2,34.1,0.6,12.5,0.4,20.1,10.3,7.6,6.6,21.9,0.089,0
7,1997-98,1998,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,HOU,NBA,PF,81,74,31.2,6.6,12.9,0.51,0.0,0.1,0.143,6.5,12.8,0.513,0.511,3.0,3.8,0.793,2.9,5.5,8.4,1.0,0.7,0.5,2.1,2.9,16.1,2528,11.1,21.7,0.51,0.0,0.1,0.143,11.1,21.6,0.513,5.0,6.4,0.793,4.8,9.3,14.2,1.6,1.1,0.8,3.5,4.9,27.2,108,108,2528,18.3,0.555,0.007,0.293,11.0,20.7,15.9,5.8,1.1,1.1,12.6,24.1,4.3,1.7,6.0,0.114,0.3,-2.3,-1.9,0.0,82.0,19830.0,2946.0,6513.0,0.452,573.0,1670.0,0.343,2373.0,4843.0,0.49,1634.0,2120.0,0.771,987.0,2350.0,3337.0,1799.0,686.0,294.0,1298.0,1653.0,8099.0,82.0,19830.0,3173.0,6769.0,0.469,409.0,1120.0,0.365,2764.0,5649.0,0.489,1406.0,1891.0,0.744,1041.0,2326.0,3367.0,1914.0,732.0,365.0,1170.0,1747.0,8161.0,41,41,39,43,-0.76,-0.47,-1.23,107.7,108.6,91.0,0.326,0.256,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117,81,31.2,-0.56,0.28,-0.28,4.31,5162,2696,-0.364507011,-0.945381497,-1.309888508,1.984348826,1.738302151,0.246046675,-0.295807638,-0.663139733,-0.958947371,-0.349131227,81,41,40,31.2,105.1,5.5,18.6,29.8,0.7,12.4,0.5,22.4,11.1,10.1,8.7,26.8,0.064,0
8,1998-99,1999,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,36,TOR,NBA,C,42,38,29.0,4.5,10.6,0.418,0.0,0.0,0.0,4.5,10.6,0.42,0.418,3.1,3.7,0.839,2.6,5.7,8.3,1.6,0.7,0.7,2.0,3.2,12.0,1216,8.3,19.9,0.418,0.0,0.1,0.0,8.3,19.8,0.42,5.8,6.9,0.839,4.8,10.7,15.6,3.0,1.2,1.2,3.8,6.0,22.4,101,102,1216,15.6,0.489,0.004,0.347,10.3,23.2,16.7,10.3,1.2,1.8,14.3,22.4,1.1,1.2,2.4,0.093,-0.9,-1.5,-2.4,-0.1,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,42,29.0,-1.53,0.38,-1.15,1.69,2275,1216,-2.089139054,-0.805839722,-2.894978775,-0.089688656,-0.089688656,0.0,-1.808692863,-0.590600197,-2.399293059,-0.256788299,42,18,24,29.0,99.6,5.7,20.3,32.8,0.7,13.3,0.7,19.3,10.6,7.4,10.3,19.3,0.083,0
9,1999-00,2000,Kevin Willis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,37,TOR,NBA,PF,79,1,21.3,3.0,7.2,0.415,0.0,0.0,0.333,3.0,7.2,0.415,0.416,1.7,2.1,0.799,2.5,3.6,6.1,0.6,0.5,0.6,1.2,3.2,7.6,1679,7.3,17.6,0.415,0.0,0.1,0.333,7.3,17.5,0.415,4.1,5.1,0.799,6.2,8.7,14.9,1.5,1.1,1.5,3.0,7.9,18.7,99,105,1679,12.3,0.471,0.005,0.288,13.0,19.4,16.1,4.8,1.1,2.0,13.3,19.5,0.7,1.6,2.3,0.066,-3.5,-2.1,-5.6,-1.5,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,79,21.3,-2.72,0.79,-1.92,0.55,3411,1755,-2.420739548,-1.030493881,-3.45123343,-0.620602659,-0.683924496,0.063321837,-2.359654328,-0.800210667,-3.159864995,0.147084667,79,45,34,21.3,100.9,3.6,17.3,28.3,0.5,12.8,0.6,20.1,6.5,6.2,8.1,17.9,0.064,0
