,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2007-08,2008,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,WAS,NBA,SG,75,2,15.4,2.8,6.4,0.439,0.5,1.3,0.4,2.3,5.0,0.45,0.481,1.3,1.7,0.815,0.3,1.2,1.5,0.8,0.5,0.1,1.3,1.7,7.5,1158,9.7,22.1,0.439,1.9,4.6,0.4,7.9,17.5,0.45,4.7,5.7,0.815,1.1,4.3,5.3,2.9,1.6,0.3,4.4,6.0,26.0,98,112,1158,11.6,0.527,0.209,0.259,2.3,9.6,5.8,9.6,1.6,0.5,15.0,24.9,-0.1,0.6,0.4,0.017,-2.6,-2.1,-4.7,-0.8,82.0,19905,2986,6695,0.446,575,1614,0.356,2411,5081,0.475,1557,1991,0.782,1007,2404,3411,1607,632,391,1082,1606,8104,82.0,19905,3015,6537,0.461,683,1768,0.386,2332,4769,0.489,1418,1880,0.754,900,2478,3378,1958,529,360,1149,1656,8131,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,89.5,0.297,0.241,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,Verizon Center,736461,75,15.4,-1.32,-1.47,-2.8,-0.04,2215,1175,-3.039506662,-2.948495898,-5.98800256,-1.956156901,-1.93111108,-0.025045822,-2.972090048,-3.23901155,-6.211101598,0.694642304,75,36,39,15.4,108.2,1.2,8.2,13.4,0.5,19.6,0.1,6.0,5.0,5.2,3.9,12.0,0.032,0.0
1,2008-09,2009,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,WAS,NBA,SG,82,5,22.4,4.1,9.2,0.444,0.7,2.0,0.341,3.4,7.2,0.473,0.481,2.0,2.4,0.85,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9,1837,9.6,21.7,0.444,1.6,4.7,0.341,8.0,17.0,0.473,4.7,5.5,0.85,0.9,3.4,4.3,2.7,1.1,0.6,2.6,4.0,25.6,105,117,1837,13.1,0.53,0.217,0.255,1.9,7.8,4.8,9.0,1.1,0.9,9.9,23.1,1.2,-0.1,1.2,0.03,-0.9,-2.5,-3.3,-0.6,82.0,19705,2994,6655,0.45,395,1198,0.33,2599,5457,0.476,1494,1948,0.767,956,2330,3286,1641,619,365,1146,1679,7877,82.0,19705,3164,6565,0.482,674,1740,0.387,2490,4825,0.516,1487,1959,0.759,934,2491,3425,2015,593,431,1140,1638,8489,19,63,21,61,-7.46,0.48,-6.98,105.4,113.6,91.0,0.293,0.18,0.48,13.2,27.7,0.224,0.533,13.3,71.4,0.227,Verizon Center,681119,82,22.4,-0.13,0.95,0.82,4.45,3523,1837,-0.797952726,-1.233373402,-2.031326129,0.67363037,0.67363037,0.0,-1.130776597,-1.807568973,-2.93834557,0.008589012,82,19,63,22.4,107.1,1.5,6.9,10.9,0.5,13.0,0.2,10.8,8.1,5.6,6.1,17.7,0.058,0.0
2,2009-10,2010,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,WAS,NBA,SG,74,23,19.2,3.1,7.5,0.418,0.9,2.3,0.406,2.2,5.2,0.423,0.479,1.4,1.8,0.8,0.3,1.1,1.4,0.6,0.4,0.1,0.8,2.0,8.6,1421,8.6,20.6,0.418,2.5,6.3,0.406,6.0,14.3,0.423,3.8,4.8,0.8,0.7,3.0,3.8,1.8,1.0,0.3,2.1,5.4,23.6,104,113,1421,10.7,0.519,0.305,0.233,1.6,6.7,4.1,5.7,1.0,0.4,8.3,21.4,0.9,0.5,1.4,0.046,-2.0,-1.7,-3.7,-0.6,82.0,19830,3008,6700,0.449,432,1225,0.353,2576,5475,0.471,1444,1895,0.762,966,2458,3424,1557,493,421,1219,1752,7892,82.0,19830,3083,6664,0.463,528,1466,0.36,2555,5198,0.492,1590,2088,0.761,935,2530,3465,1772,569,415,1115,1684,8284,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,91.6,0.283,0.183,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,Verizon Center,664398,74,19.2,-0.5,0.04,-0.46,2.27,2743,1421,-0.770103681,-1.059970231,-1.830073912,0.669672598,0.669672598,0.0,-1.05184142,-1.214344739,-2.266186159,0.384447217,74,24,50,19.2,105.7,1.1,6.0,9.7,0.4,14.7,0.1,5.5,6.7,5.4,5.2,16.2,0.056,-1.12
3,2010-11,2011,Nick Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,WAS,NBA,SG,64,40,31.8,6.4,14.6,0.441,1.6,4.2,0.387,4.8,10.4,0.462,0.497,2.9,3.6,0.816,0.4,2.3,2.7,1.2,0.7,0.3,1.4,2.3,17.4,2034,10.4,23.5,0.441,2.6,6.8,0.387,7.7,16.7,0.462,4.7,5.7,0.816,0.7,3.7,4.4,1.9,1.1,0.4,2.3,3.6,28.0,107,114,2034,14.5,0.538,0.29,0.244,1.4,8.6,4.9,6.6,1.1,0.6,8.0,24.4,2.3,0.4,2.8,0.065,0.6,-1.8,-1.3,0.4,82.0,19930,3048,6888,0.443,392,1182,0.332,2656,5706,0.465,1489,1999,0.745,1013,2374,3387,1592,665,502,1258,1850,7977,82.0,19930,3174,6741,0.471,560,1500,0.373,2614,5241,0.499,1676,2202,0.761,994,2607,3601,1898,624,413,1293,1662,8584,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.471,13.9,28.0,0.216,0.512,14.4,70.5,0.249,Verizon Center,688466,64,31.8,1.02,-1.53,-0.52,3.65,4020,2034,-0.178546008,-1.827226875,-2.005772883,0.772127897,0.772127897,0.0,-0.319947252,-1.678368754,-1.998316006,-0.02309732,64,14,50,31.8,107.9,2.3,7.6,11.9,0.7,14.6,0.3,7.0,11.3,8.6,10.5,28.3,0.068,-1.61
4,2011-12,2012,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,WAS,NBA,SG,40,32,30.3,6.0,14.8,0.406,1.8,4.9,0.371,4.2,9.9,0.424,0.468,2.8,3.3,0.862,0.5,1.9,2.4,1.2,0.8,0.3,1.5,2.3,16.6,1211,10.3,25.3,0.406,3.1,8.4,0.371,7.2,16.9,0.424,4.8,5.6,0.862,0.9,3.3,4.2,2.0,1.3,0.5,2.5,3.9,28.5,103,111,1211,14.2,0.513,0.333,0.22,1.8,7.2,4.5,6.8,1.3,0.7,8.3,26.1,1.1,0.4,1.5,0.059,0.6,-2.3,-1.7,0.1,66.0,15865,2414,5475,0.441,344,1075,0.32,2070,4400,0.47,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180,66.0,15865,2422,5352,0.453,426,1216,0.35,1996,4136,0.483,1227,1618,0.758,811,2062,2873,1420,520,300,1004,1231,6497,20,46,22,44,-4.8,-0.34,-5.14,101.0,106.2,92.5,0.253,0.196,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,Verizon Center,552038,62,27.9,0.94,-1.19,-0.26,2.42,3709,1929,-0.127897746,-2.081223682,-2.209121429,0.538345539,0.277706148,0.260639392,-0.057177759,-1.83470854,-1.891886299,1.494250919,62,22,40,27.9,105.9,1.6,6.0,9.9,0.7,14.5,0.3,7.6,11.2,8.5,8.5,23.9,0.053,-2.23
5,2011-12,2012,Nick Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,LAC,NBA,SG,22,3,23.5,3.5,8.8,0.394,1.4,3.9,0.353,2.1,4.9,0.426,0.472,1.5,1.8,0.821,0.5,1.1,1.6,0.5,0.6,0.3,1.1,2.3,9.7,518,7.9,20.1,0.394,3.1,8.8,0.353,4.8,11.2,0.426,3.3,4.1,0.821,1.1,2.6,3.7,1.0,1.5,0.6,2.5,5.3,22.2,100,110,518,9.9,0.509,0.44,0.202,2.5,5.8,4.1,3.1,1.5,1.0,10.2,20.9,0.2,0.2,0.4,0.04,-2.3,-1.8,-4.1,-0.3,66.0,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,66.0,15965,2279,5098,0.447,460,1261,0.365,1819,3837,0.474,1251,1678,0.746,712,1914,2626,1368,396,296,966,1401,6269,40,26,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.269,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237,62,27.9,0.94,-1.19,-0.26,2.42,3709,1929,-0.127897746,-2.081223682,-2.209121429,0.538345539,0.277706148,0.260639392,-0.057177759,-1.83470854,-1.891886299,1.494250919,62,22,40,27.9,105.9,1.6,6.0,9.9,0.7,14.5,0.3,7.6,11.2,8.5,8.5,23.9,0.053,-2.23
6,2012-13,2013,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHI,NBA,SG,59,17,23.9,3.8,9.2,0.413,1.3,3.6,0.357,2.5,5.6,0.449,0.482,1.8,2.2,0.82,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6,1411,8.4,20.3,0.413,2.8,7.9,0.357,5.6,12.4,0.449,3.9,4.8,0.82,0.9,4.0,4.9,3.1,1.3,0.5,1.9,3.1,23.5,105,109,1411,13.3,0.525,0.387,0.236,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,1.4,1.0,2.3,0.079,-0.1,-0.6,-0.7,0.5,82.0,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.729,896,2493,3389,1867,609,384,1070,1505,7640,82.0,19755,3017,6643,0.454,549,1574,0.349,2468,5069,0.487,1331,1752,0.76,903,2704,3607,1870,590,396,1175,1331,7914,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,0.2,0.209,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,Wells Fargo Center,685412,59,23.9,0.2,0.15,0.35,2.7,2706,1411,-0.327402488,-1.41373556,-1.741138048,0.726053699,0.726053699,0.0,-0.50376691,-1.550889236,-2.054656146,-0.02796533,59,23,36,23.9,102.5,1.8,7.5,11.6,0.6,18.3,0.2,9.6,7.4,6.5,5.7,19.7,0.079,-1.01
7,2013-14,2014,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,LAL,NBA,SG,64,9,28.3,6.0,13.9,0.435,2.1,5.5,0.386,3.9,8.4,0.468,0.511,3.7,4.5,0.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,2.4,17.9,1810,10.4,23.9,0.435,3.6,9.4,0.386,6.8,14.5,0.468,6.3,7.7,0.825,0.8,3.7,4.5,2.6,1.2,0.3,2.6,4.2,30.7,107,114,1810,16.0,0.564,0.394,0.321,1.7,8.1,4.9,9.0,1.2,0.5,8.6,26.8,2.3,0.3,2.5,0.067,1.4,-1.9,-0.5,0.7,82.0,19705,3139,6980,0.45,774,2032,0.381,2365,4948,0.478,1390,1835,0.757,745,2620,3365,2006,611,446,1239,1627,8442,82.0,19705,3440,7350,0.468,666,1843,0.361,2774,5507,0.504,1412,1942,0.727,1068,2950,4018,2112,790,387,1164,1580,8958,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,STAPLES Center,771974,64,28.3,2.44,-1.44,1.0,4.83,3752,1810,2.384100908,-1.495506398,0.88859451,3.358380807,3.358380807,0.0,2.080393125,-1.909826971,0.170566154,-0.04918218,64,21,43,28.3,107.6,2.1,7.2,11.6,0.7,16.8,0.2,6.2,10.5,9.5,8.7,27.8,0.057,-2.11
8,2014-15,2015,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,LAL,NBA,SG,42,0,23.8,4.1,11.3,0.366,2.0,5.4,0.369,2.2,6.0,0.363,0.453,3.1,3.5,0.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4,1000,8.9,24.3,0.366,4.2,11.5,0.369,4.6,12.8,0.363,6.7,7.6,0.892,0.9,4.0,4.9,2.1,1.2,0.6,2.2,4.2,28.8,105,113,1000,14.2,0.52,0.473,0.311,1.8,9.1,5.3,6.9,1.2,0.9,7.5,26.0,1.1,0.1,1.2,0.058,0.8,-2.1,-1.3,0.2,82.0,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073,82.0,19930,3180,6817,0.466,697,1921,0.363,2483,4896,0.507,1577,2118,0.745,824,2797,3621,1966,611,396,1068,1589,8634,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244,42,23.8,0.32,0.56,0.88,2.47,2027,1000,1.75508972,-1.777788945,-0.022699225,1.384511272,1.384511272,0.0,1.340324524,-2.733767605,-1.39344308,-0.479489186,42,12,30,23.8,105.8,1.9,7.7,11.7,0.5,15.0,0.3,11.1,7.6,6.0,7.0,20.3,0.055,-1.14
9,2015-16,2016,Nick Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,LAL,NBA,SG,54,2,19.1,2.3,6.9,0.339,1.4,4.4,0.325,0.9,2.5,0.363,0.442,1.2,1.4,0.829,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3,1033,6.1,18.1,0.339,3.7,11.5,0.325,2.4,6.6,0.363,3.1,3.7,0.829,0.7,4.0,4.7,1.7,1.1,0.3,1.5,2.4,19.1,98,115,1033,9.1,0.483,0.637,0.204,1.4,9.0,5.1,5.4,1.1,0.5,6.9,18.5,0.1,0.0,0.1,0.003,-1.6,-2.1,-3.7,-0.5,82.0,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982,82.0,19730,3323,7023,0.473,700,2016,0.347,2623,5007,0.524,1420,1942,0.731,897,2915,3812,2022,617,458,1037,1573,8766,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,STAPLES Center,778877,54,19.1,-1.6,-1.01,-2.61,-0.21,2080,1033,-0.773743902,-3.407188702,-4.180932604,-0.747036259,-0.747036259,0.0,-1.462166225,-4.149496556,-5.611662781,-0.922167789,54,13,41,19.1,107.9,1.5,8.1,12.4,0.4,14.6,0.1,7.9,6.5,5.7,5.9,19.0,0.036,-1.88
