,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2007-08,2008,Thaddeus Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,19,PHI,NBA,PF,74,22,21.0,3.6,6.6,0.539,0.1,0.3,0.316,3.5,6.4,0.548,0.545,1.0,1.4,0.738,1.6,2.6,4.2,0.8,1.0,0.1,0.9,1.7,8.2,1554,9.0,16.7,0.539,0.2,0.6,0.316,8.8,16.1,0.548,2.6,3.5,0.738,4.1,6.6,10.7,2.0,2.5,0.3,2.2,4.3,20.8,115,106,1554,16.5,0.57,0.039,0.21,9.1,14.8,11.9,6.2,2.5,0.4,10.7,17.4,2.6,2.0,4.5,0.14,0.2,0.3,0.5,1.0,82.0,19755.0,3056.0,6648.0,0.46,302.0,952.0,0.317,2754.0,5696.0,0.483,1509.0,2137.0,0.706,1067.0,2370.0,3437.0,1673.0,712.0,400.0,1172.0,1620.0,7923.0,82.0,19755.0,3000.0,6504.0,0.461,557.0,1549.0,0.36,2443.0,4955.0,0.493,1332.0,1726.0,0.772,923.0,2293.0,3216.0,1903.0,550.0,420.0,1289.0,1708.0,7889.0,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,90.4,0.321,0.143,0.482,13.4,31.8,0.227,0.504,15.1,72.0,0.205,Wachovia Center,609675,74,21.0,-0.0,-0.14,-0.14,2.75,3250,1714,1.192857656,0.912782795,2.105640451,4.26645041,3.575559,0.69089141,0.915088564,0.646938052,1.562026616,-0.26481511,74,38,36,21.0,101.8,2.6,12.6,19.9,1.0,24.6,0.1,5.0,6.2,5.8,4.2,19.6,0.085,0.0
1,2008-09,2009,Thaddeus Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,PHI,NBA,PF,75,71,34.4,6.3,12.8,0.495,0.7,2.2,0.341,5.6,10.6,0.526,0.524,1.9,2.5,0.735,1.9,3.2,5.0,1.1,1.3,0.3,1.6,2.2,15.3,2580,9.8,19.9,0.495,1.2,3.4,0.341,8.7,16.5,0.526,2.9,3.9,0.735,2.9,4.9,7.8,1.8,2.1,0.5,2.4,3.4,23.7,110,109,2580,15.3,0.549,0.171,0.197,6.4,11.1,8.8,5.8,2.1,0.7,10.2,20.5,3.0,2.5,5.5,0.102,0.4,-0.5,-0.1,1.2,82.0,19755.0,2997.0,6532.0,0.459,341.0,1072.0,0.318,2656.0,5460.0,0.486,1652.0,2216.0,0.745,1039.0,2336.0,3375.0,1647.0,658.0,415.0,1157.0,1650.0,7987.0,82.0,19755.0,2997.0,6489.0,0.462,585.0,1595.0,0.367,2412.0,4894.0,0.493,1402.0,1792.0,0.782,935.0,2285.0,3220.0,1799.0,575.0,400.0,1278.0,1786.0,7981.0,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90.0,0.339,0.164,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898,75,34.4,-0.2,1.2,1.0,6.59,5318,2809,-0.294565573,1.534744738,1.240179165,5.712728045,5.388112065,0.32461598,0.090483305,1.538537741,1.629021045,-0.20593652,75,39,36,34.4,102.6,3.2,9.8,15.3,1.3,22.0,0.3,8.4,11.0,9.1,7.3,28.1,0.137,0.0
2,2009-10,2010,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,PHI,NBA,PF,67,45,32.0,5.7,12.1,0.47,0.7,2.1,0.348,5.0,10.1,0.495,0.499,1.7,2.5,0.691,1.9,3.3,5.2,1.4,1.2,0.2,1.9,2.0,13.8,2145,9.3,19.9,0.47,1.2,3.4,0.348,8.2,16.5,0.495,2.8,4.0,0.691,3.2,5.4,8.6,2.4,2.0,0.4,3.1,3.3,22.6,102,111,2145,14.0,0.523,0.17,0.203,7.0,12.3,9.6,7.5,2.0,0.6,12.5,21.5,0.9,1.2,2.1,0.047,-0.4,-1.5,-1.9,0.1,82.0,19805.0,3087.0,6706.0,0.46,474.0,1381.0,0.343,2613.0,5325.0,0.491,1366.0,1808.0,0.756,941.0,2421.0,3362.0,1723.0,667.0,439.0,1192.0,1677.0,8014.0,82.0,19805.0,3105.0,6573.0,0.472,606.0,1542.0,0.393,2499.0,5031.0,0.497,1518.0,1983.0,0.766,888.0,2470.0,3358.0,1810.0,621.0,332.0,1189.0,1534.0,8334.0,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,583219,67,32.0,-0.89,-0.32,-1.21,2.35,4140,2145,-1.202887982,-0.855357755,-2.058245737,0.755428744,0.755428744,0.0,-0.774960383,-0.769663799,-1.544624182,-0.19995189,67,23,44,32.0,107.5,3.3,10.8,16.6,1.2,21.1,0.2,5.9,10.5,8.4,8.7,29.3,0.075,-0.48
3,2010-11,2011,Thaddeus Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,PHI,NBA,PF,82,1,26.0,5.6,10.3,0.541,0.1,0.3,0.273,5.5,10.1,0.548,0.544,1.5,2.1,0.707,1.9,3.4,5.3,1.0,1.1,0.3,1.2,2.1,12.7,2135,11.2,20.8,0.541,0.1,0.5,0.273,11.1,20.2,0.548,3.0,4.3,0.707,3.8,6.9,10.6,2.0,2.2,0.6,2.4,4.2,25.6,110,104,2135,18.4,0.566,0.026,0.205,8.3,15.2,11.7,6.7,2.2,0.9,9.7,22.1,3.2,3.0,6.2,0.139,0.8,0.3,1.0,1.6,82.0,19930.0,3125.0,6776.0,0.461,443.0,1248.0,0.355,2682.0,5528.0,0.485,1426.0,1851.0,0.77,850.0,2578.0,3428.0,1861.0,621.0,355.0,1063.0,1592.0,8119.0,82.0,19930.0,2996.0,6638.0,0.451,468.0,1375.0,0.34,2528.0,5263.0,0.48,1536.0,1987.0,0.773,881.0,2608.0,3489.0,1762.0,583.0,376.0,1168.0,1544.0,7996.0,41,41,45,37,1.5,-0.5,1.01,106.6,105.0,91.7,0.273,0.184,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,Wells Fargo Center,604823,82,26.0,-0.24,1.67,1.43,6.43,4356,2262,-0.065869171,1.042922396,0.977053225,4.275516945,4.247518234,0.027998712,0.044867823,0.973880131,1.018747953,-0.278919861,82,41,41,26.0,101.1,3.4,13.3,20.5,1.1,26.7,0.3,14.6,7.2,6.9,6.2,21.9,0.111,0.3
4,2011-12,2012,Thaddeus Young,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,PHI,NBA,PF,63,1,27.9,5.5,10.9,0.507,0.0,0.1,0.25,5.5,10.8,0.508,0.507,1.8,2.3,0.771,2.2,3.0,5.2,1.2,1.0,0.7,0.9,2.0,12.8,1755,10.6,21.0,0.507,0.0,0.1,0.25,10.6,20.8,0.508,3.4,4.4,0.771,4.2,5.7,9.9,2.3,2.0,1.3,1.7,3.9,24.6,111,100,1755,18.9,0.538,0.006,0.21,8.6,12.0,10.3,7.3,2.0,1.8,6.8,21.5,3.4,2.9,6.3,0.171,1.4,0.6,2.0,1.8,66.0,15915.0,2471.0,5516.0,0.448,349.0,963.0,0.362,2122.0,4553.0,0.466,889.0,1198.0,0.742,704.0,2144.0,2848.0,1453.0,526.0,340.0,738.0,1157.0,6180.0,66.0,15915.0,2263.0,5302.0,0.427,357.0,1070.0,0.334,1906.0,4232.0,0.45,1017.0,1352.0,0.752,706.0,2181.0,2887.0,1293.0,391.0,316.0,918.0,1070.0,5900.0,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,89.7,0.217,0.175,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,Wells Fargo Center,577597,63,27.9,0.12,0.91,1.03,3.88,3834,2032,1.101199392,0.240139426,1.341338818,4.222122742,3.911909175,0.310213567,0.91589145,0.325403566,1.241295016,-0.547445177,63,33,30,27.9,97.4,3.0,10.7,16.2,1.0,22.7,0.7,21.8,6.3,6.9,5.3,21.7,0.127,-0.61
5,2012-13,2013,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,PHI,NBA,PF,76,76,34.6,6.7,12.6,0.531,0.0,0.1,0.125,6.7,12.5,0.535,0.532,1.4,2.5,0.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,2.5,14.8,2629,10.2,19.2,0.531,0.0,0.2,0.125,10.2,19.1,0.535,2.2,3.8,0.574,3.7,7.8,11.5,2.5,2.7,1.1,1.8,3.8,22.6,109,103,2629,18.2,0.541,0.008,0.196,7.6,17.2,12.3,8.2,2.7,1.6,8.0,19.8,3.7,3.7,7.4,0.136,0.2,1.0,1.2,2.1,82.0,19755.0,3059.0,6895.0,0.444,518.0,1438.0,0.36,2541.0,5457.0,0.466,1004.0,1377.0,0.729,896.0,2493.0,3389.0,1867.0,609.0,384.0,1070.0,1505.0,7640.0,82.0,19755.0,3017.0,6643.0,0.454,549.0,1574.0,0.349,2468.0,5069.0,0.487,1331.0,1752.0,0.76,903.0,2704.0,3607.0,1870.0,590.0,396.0,1175.0,1331.0,7914.0,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,0.2,0.209,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,Wells Fargo Center,685412,76,34.6,-0.13,1.2,1.07,6.31,5041,2629,0.31812756,2.06722476,2.38535232,6.86576624,6.86576624,0.0,0.315681596,2.60693754,2.922619136,-0.302266792,76,33,43,34.6,103.1,5.1,15.1,23.2,1.8,30.6,0.7,20.8,10.3,8.7,9.4,29.4,0.109,1.15
6,2013-14,2014,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,PHI,NBA,PF,79,78,34.4,7.4,16.2,0.454,1.1,3.7,0.308,6.2,12.5,0.496,0.489,2.1,2.9,0.712,2.1,3.9,6.0,2.3,2.1,0.5,2.1,2.7,17.9,2718,10.4,22.9,0.454,1.6,5.2,0.308,8.8,17.7,0.496,2.9,4.1,0.712,3.0,5.5,8.5,3.2,3.0,0.6,2.9,3.8,25.2,101,108,2718,16.6,0.512,0.228,0.178,6.3,12.8,9.5,11.8,3.0,1.1,10.7,24.1,1.2,2.3,3.5,0.062,0.4,-0.5,-0.1,1.3,82.0,19855.0,3108.0,7150.0,0.435,577.0,1847.0,0.312,2531.0,5303.0,0.477,1362.0,1918.0,0.71,949.0,2556.0,3505.0,1791.0,765.0,330.0,1384.0,1844.0,8155.0,82.0,19855.0,3284.0,6975.0,0.471,739.0,1998.0,0.37,2545.0,4977.0,0.511,1705.0,2261.0,0.754,976.0,2871.0,3847.0,2144.0,736.0,558.0,1391.0,1686.0,9012.0,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,Wells Fargo Center,568632,79,34.4,0.96,-1.74,-0.78,3.87,5685,2718,-0.829281068,-1.196209176,-2.025490244,1.01265683,1.01265683,0.0,-0.561289566,-0.595830858,-1.157120424,0.760111044,79,18,61,34.4,110.1,3.9,11.5,18.1,2.1,31.0,0.5,16.7,13.3,11.0,11.8,33.0,0.043,-1.12
7,2014-15,2015,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIN,NBA,PF,48,48,33.4,6.0,13.4,0.451,0.4,1.4,0.292,5.6,12.0,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3,1605,9.2,20.3,0.451,0.6,2.1,0.292,8.6,18.2,0.469,2.8,4.1,0.682,2.4,5.4,7.8,4.3,2.7,0.5,2.4,3.6,21.7,101,111,1605,15.0,0.491,0.101,0.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,0.8,0.6,1.4,0.043,-0.4,-0.1,-0.5,0.6,82.0,19805.0,2986.0,6820.0,0.438,406.0,1223.0,0.332,2580.0,5597.0,0.461,1638.0,2110.0,0.776,949.0,2406.0,3355.0,1771.0,668.0,327.0,1231.0,1571.0,8016.0,82.0,19805.0,3373.0,6933.0,0.487,697.0,1897.0,0.367,2676.0,5036.0,0.531,1294.0,1704.0,0.759,953.0,2619.0,3572.0,1933.0,686.0,449.0,1243.0,1751.0,8737.0,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652,76,32.0,0.29,0.49,0.78,5.79,5216,2624,0.281044455,0.56780779,0.848852245,4.834188698,4.5642178,0.269970897,0.466209655,0.565556723,1.031766378,0.11037399,76,25,51,32.0,107.9,3.7,12.1,18.7,1.6,29.2,0.3,12.3,10.9,9.4,8.8,31.2,0.053,0.11
8,2014-15,2015,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,BRK,NBA,PF,28,20,29.6,5.8,11.7,0.495,0.7,1.8,0.38,5.1,9.9,0.516,0.524,1.5,2.5,0.606,1.9,4.1,5.9,1.4,1.4,0.3,1.5,2.0,13.8,829,10.1,20.4,0.495,1.2,3.1,0.38,8.9,17.3,0.516,2.7,4.4,0.606,3.2,7.1,10.4,2.4,2.4,0.5,2.6,3.5,24.1,105,106,829,17.1,0.539,0.153,0.217,7.1,15.4,11.2,8.0,2.4,0.8,10.5,22.0,0.8,0.8,1.6,0.095,0.7,-0.3,0.5,0.5,82.0,19930.0,3069.0,6804.0,0.451,541.0,1633.0,0.331,2528.0,5171.0,0.489,1359.0,1817.0,0.748,846.0,2627.0,3473.0,1716.0,576.0,340.0,1133.0,1579.0,8038.0,82.0,19930.0,3150.0,6913.0,0.456,696.0,1944.0,0.358,2454.0,4969.0,0.494,1278.0,1748.0,0.731,937.0,2699.0,3636.0,1944.0,643.0,372.0,1137.0,1641.0,8274.0,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529,76,32.0,0.29,0.49,0.78,5.79,5216,2624,0.281044455,0.56780779,0.848852245,4.834188698,4.5642178,0.269970897,0.466209655,0.565556723,1.031766378,0.11037399,76,25,51,32.0,107.9,3.7,12.1,18.7,1.6,29.2,0.3,12.3,10.9,9.4,8.8,31.2,0.053,0.11
9,2015-16,2016,Thaddeus Young,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BRK,NBA,PF,73,73,33.0,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9.0,1.9,1.5,0.5,1.9,2.5,15.1,2407,10.4,20.2,0.514,0.1,0.6,0.233,10.2,19.5,0.523,2.2,3.4,0.644,3.7,10.1,13.8,2.8,2.3,0.8,2.8,3.8,23.1,104,107,2407,17.5,0.533,0.031,0.169,8.1,23.0,15.4,9.6,2.3,1.2,11.6,21.6,1.9,2.2,4.1,0.081,0.1,-0.1,0.0,1.2,82.0,19755.0,3136.0,6920.0,0.453,531.0,1508.0,0.352,2605.0,5412.0,0.481,1286.0,1699.0,0.757,863.0,2614.0,3477.0,1829.0,627.0,332.0,1212.0,1476.0,8089.0,82.0,19755.0,3345.0,6984.0,0.479,775.0,2100.0,0.369,2570.0,4884.0,0.526,1227.0,1608.0,0.763,840.0,2719.0,3559.0,2006.0,720.0,430.0,1162.0,1510.0,8692.0,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,0.246,0.218,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,Barclays Center,620142,73,33.0,-0.53,-0.09,-0.62,2.81,4829,2407,0.05342423,0.470862212,0.524286442,3.995038925,3.995038925,0.0,0.28234829,0.492132331,0.774480621,-0.630656719,73,21,52,33.0,108.0,6.6,20.8,29.4,1.5,30.2,0.5,21.8,12.3,7.8,10.1,32.9,0.061,-0.18
