,Year,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2013,82.0,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,82.0,19855,3066,6614,0.464,518,1415,0.366,2548,5199,0.49,1148,1571,0.731,878,2336,3214,1756,614,390,1102,1751,7798,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,0.299,0.269,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,704702
0,2014,82.0,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,82.0,19880,2980,6511,0.458,662,1802,0.367,2318,4709,0.492,1539,2026,0.76,921,2594,3515,1723,608,337,1296,1704,8161,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331
0,2015,82.0,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,82.0,19930,3150,6913,0.456,696,1944,0.358,2454,4969,0.494,1278,1748,0.731,937,2699,3636,1944,643,372,1137,1641,8274,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529
0,2016,82.0,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089,82.0,19755,3345,6984,0.479,775,2100,0.369,2570,4884,0.526,1227,1608,0.763,840,2719,3559,2006,720,430,1162,1510,8692,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,0.246,0.218,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,Barclays Center,620142
0,2017,82.0,19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673,82.0,19755,3414,7449,0.458,816,2232,0.366,2598,5217,0.498,1581,2049,0.772,902,2965,3867,1888,780,457,1092,1671,9225,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,632608
0,2018,82.0,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741,82.0,19855,3418,7334,0.466,741,2010,0.369,2677,5324,0.503,1471,1921,0.766,853,2981,3834,1782,630,450,1015,1615,9048,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,640010
0,2019,82.0,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,82.0,19980,3460,7581,0.456,848,2486,0.341,2612,5095,0.513,1442,1872,0.77,902,2889,3791,1944,638,432,1104,1807,9210,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,100.8,0.284,0.403,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597
0,2020,72.0,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,72.0,17480,2981,6688,0.446,877,2505,0.35,2104,4183,0.503,1250,1625,0.769,766,2541,3307,1630,554,379,919,1521,8089,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,101.4,0.267,0.423,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,Barclays Center,524907
0,2021,72.0,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,72.0,17405,3017,6573,0.459,951,2607,0.365,2066,3966,0.521,1228,1584,0.775,753,2348,3101,1729,550,330,908,1361,8213,48,24,46,26,4.5,-0.27,4.24,118.3,113.8,99.5,0.258,0.413,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,30491
0,2022,82.0,19755,3442,7251,0.475,940,2602,0.361,2502,4649,0.538,1434,1781,0.805,844,2796,3640,2071,582,448,1153,1670,9258,82.0,19755,3340,7395,0.452,1026,2974,0.345,2314,4421,0.523,1488,1888,0.788,926,2690,3616,1954,650,403,1088,1616,9194,44,38,43,39,0.78,0.04,0.82,113.6,112.8,99.0,0.246,0.359,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539
0,2023,82.0,19730,3399,6978,0.487,1048,2771,0.378,2351,4207,0.559,1449,1811,0.8,674,2648,3322,2093,585,506,1127,1730,9295,82.0,19730,3360,7257,0.463,968,2640,0.367,2392,4617,0.518,1537,2003,0.767,943,2758,3701,1916,575,317,1126,1517,9225,45,37,43,39,0.85,0.18,1.03,115.0,114.1,98.3,0.26,0.397,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,Barclays Center,724439
