,Year,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993,82.0,19805,3544,7329,0.484,133,491,0.271,3411,6838,0.499,1562,2177,0.718,1183,2360,3543,2242,847,491,1338,1920,8783,82.0,19805,3311,7051,0.47,275,790,0.348,3036,6261,0.485,1857,2434,0.763,1179,2437,3616,1970,765,453,1445,1772,8754,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,99.1,0.297,0.067,0.493,13.9,32.7,0.213,0.489,15.1,66.7,0.263,Los Angeles Memorial Sports Arena,532625
0,1994,82.0,19780,3343,7163,0.467,252,831,0.303,3091,6332,0.488,1509,2128,0.709,1120,2410,3530,2169,807,421,1474,1769,8447,82.0,19780,3512,7421,0.473,308,882,0.349,3204,6539,0.49,1584,2209,0.717,1348,2568,3916,2220,898,476,1364,1788,8916,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,99.6,0.297,0.116,0.484,15.4,30.4,0.211,0.494,14.0,64.1,0.213,Los Angeles Memorial Sports Arena,471034
0,1995,82.0,19880,3060,6888,0.444,331,1051,0.315,2729,5837,0.468,1476,2079,0.71,1064,2076,3140,1805,787,435,1334,2152,7927,82.0,19880,3207,6470,0.496,388,1049,0.37,2819,5421,0.52,1876,2503,0.75,1083,2536,3619,1917,693,459,1506,1905,8678,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,94.3,0.302,0.153,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244
0,1996,82.0,19730,3126,6618,0.472,509,1374,0.37,2617,5244,0.499,1392,1984,0.702,979,2190,3169,1672,703,411,1355,2008,8153,82.0,19730,3090,6471,0.478,444,1195,0.372,2646,5276,0.502,1824,2444,0.746,1034,2362,3396,1658,689,401,1357,1860,8448,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,93.2,0.3,0.208,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,405495
0,1997,82.0,19930,2989,6696,0.446,474,1339,0.354,2515,5357,0.469,1517,2074,0.731,1092,2242,3334,1662,733,441,1311,1964,7969,82.0,19930,2975,6445,0.462,480,1345,0.357,2495,5100,0.489,1732,2312,0.749,1051,2450,3501,1654,737,419,1369,1860,8162,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,91.3,0.31,0.2,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,232895
0,1998,82.0,19780,2930,6690,0.438,525,1468,0.358,2405,5222,0.461,1480,2047,0.723,1040,2276,3316,1533,625,456,1323,1827,7865,82.0,19780,3236,6832,0.474,334,923,0.362,2902,5909,0.491,1663,2267,0.734,1169,2469,3638,1826,726,412,1158,1747,8469,17,65,21,61,-7.37,-0.16,-7.53,103.3,111.2,92.4,0.306,0.219,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840
0,1999,50.0,12125,1711,4007,0.427,214,668,0.32,1497,3339,0.448,883,1225,0.721,665,1293,1958,820,424,236,796,1223,4519,50.0,12125,1830,3858,0.474,222,627,0.354,1608,3231,0.498,1078,1445,0.746,640,1506,2146,1101,419,289,782,1042,4960,9,41,11,39,-8.82,-0.12,-8.94,100.0,109.7,89.5,0.306,0.167,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279,Los Angeles Memorial Sports Arena,256568
0,2000,82.0,19705,2877,6757,0.426,429,1267,0.339,2448,5490,0.446,1363,1826,0.746,955,2377,3332,1479,578,494,1325,1821,7546,82.0,19705,3281,6879,0.477,417,1077,0.387,2864,5802,0.494,1512,2041,0.741,1038,2699,3737,1975,621,377,1172,1731,8491,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,93.9,0.27,0.188,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,STAPLES Center,559714
0,2001,82.0,20030,2896,6467,0.448,360,1063,0.339,2536,5404,0.469,1429,2061,0.693,962,2559,3521,1585,490,513,1293,1775,7581,82.0,20030,2995,6800,0.44,354,1075,0.329,2641,5725,0.461,1474,1983,0.743,1042,2439,3481,1791,638,412,1045,1795,7818,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.476,14.9,28.3,0.221,0.466,12.0,71.1,0.217,STAPLES Center,601587
0,2002,82.0,19805,2970,6668,0.445,408,1147,0.356,2562,5521,0.464,1498,2026,0.739,1083,2474,3557,1714,510,540,1214,1624,7846,82.0,19805,3074,6866,0.448,407,1145,0.355,2667,5721,0.466,1329,1783,0.745,1064,2379,3443,1859,612,439,1055,1775,7884,39,43,40,42,-0.46,0.38,-0.09,105.5,106.0,90.1,0.304,0.172,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,740185
0,2003,82.0,19755,2835,6490,0.437,390,1178,0.331,2445,5312,0.46,1633,2177,0.75,1008,2462,3470,1605,574,461,1291,1784,7693,82.0,19755,3035,6787,0.447,454,1244,0.365,2581,5543,0.466,1507,1946,0.774,1046,2460,3506,1840,652,418,1152,1844,8031,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471
0,2004,82.0,19805,2817,6579,0.428,329,1024,0.321,2488,5555,0.448,1808,2302,0.785,1149,2416,3565,1653,594,376,1344,1816,7771,82.0,19805,3075,6687,0.46,452,1256,0.36,2623,5431,0.483,1545,2086,0.741,1033,2358,3391,1874,693,437,1122,1861,8147,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,91.0,0.35,0.156,0.453,15.0,32.8,0.275,0.494,12.9,70.0,0.231,STAPLES Center,665396
0,2005,82.0,20030,2924,6368,0.459,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849,82.0,20030,2936,6618,0.444,485,1317,0.368,2451,5301,0.462,1555,2041,0.762,986,2255,3241,1732,638,393,1122,1934,7912,37,45,39,43,-0.77,0.3,-0.47,105.5,106.4,89.1,0.357,0.105,0.477,14.9,30.3,0.278,0.48,13.0,71.3,0.235,STAPLES Center,696181
0,2006,82.0,19805,2993,6443,0.465,290,843,0.344,2703,5600,0.483,1694,2142,0.791,828,2704,3532,1708,534,503,1185,1872,7970,82.0,19805,2887,6638,0.435,474,1367,0.347,2413,5271,0.458,1593,2175,0.732,858,2432,3290,1765,570,355,1053,1777,7841,47,35,46,36,1.57,0.18,1.75,105.3,103.6,91.7,0.332,0.131,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,STAPLES Center,712409
0,2007,82.0,19730,2880,6318,0.456,314,903,0.348,2566,5415,0.474,1769,2245,0.788,888,2484,3372,1762,596,472,1239,1858,7843,82.0,19730,2912,6436,0.452,455,1341,0.339,2457,5095,0.482,1602,2142,0.748,843,2377,3220,1722,582,321,1132,1829,7881,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,90.8,0.355,0.143,0.481,14.5,27.2,0.28,0.488,13.3,74.7,0.249,STAPLES Center,755261
0,2008,82.0,19805,2820,6445,0.438,350,1079,0.324,2470,5366,0.46,1702,2178,0.781,800,2491,3291,1732,557,398,1180,1745,7692,82.0,19805,3114,6670,0.467,486,1393,0.349,2628,5277,0.498,1574,2096,0.751,916,2657,3573,1834,590,388,1112,1773,8288,23,59,21,61,-7.27,0.71,-6.56,101.2,109.1,92.1,0.338,0.167,0.465,13.7,23.1,0.264,0.503,12.8,73.1,0.236,STAPLES Center,692408
0,2009,82.0,19880,2955,6696,0.441,535,1513,0.354,2420,5183,0.467,1354,1839,0.736,890,2377,3267,1723,572,482,1221,1650,7799,82.0,19880,3218,6805,0.473,536,1431,0.375,2682,5374,0.499,1546,2035,0.76,962,2653,3615,1951,652,414,1093,1609,8518,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,92.1,0.275,0.226,0.481,14.0,25.1,0.202,0.512,12.4,71.2,0.227,STAPLES Center,663587
0,2010,82.0,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849,82.0,19705,3193,6792,0.47,529,1457,0.363,2664,5335,0.499,1455,1910,0.762,879,2490,3369,1926,686,363,1059,1588,8370,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,0.283,0.221,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,STAPLES Center,670063
0,2011,82.0,19855,3015,6594,0.457,513,1519,0.338,2502,5075,0.493,1546,2187,0.707,955,2501,3456,1813,585,402,1343,1733,8089,82.0,19855,3046,6688,0.455,584,1598,0.365,2462,5090,0.484,1670,2167,0.771,914,2410,3324,1827,659,404,1125,1811,8346,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,727462
0,2012,66.0,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,66.0,15965,2279,5098,0.447,460,1261,0.365,1819,3837,0.474,1251,1678,0.746,712,1914,2626,1368,396,296,966,1401,6269,40,26,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.269,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237
0,2013,82.0,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,82.0,19730,2834,6397,0.443,627,1682,0.373,2207,4715,0.468,1465,1956,0.749,891,2315,3206,1812,606,335,1319,1712,7760,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.286,0.265,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293
0,2014,82.0,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,82.0,19755,3068,6958,0.441,595,1791,0.332,2473,5167,0.479,1547,2049,0.755,1011,2575,3586,1908,570,284,1261,1919,8278,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692
0,2015,82.0,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,82.0,19730,2984,6745,0.442,683,1959,0.349,2301,4786,0.481,1560,2105,0.741,868,2649,3517,1904,548,245,1171,1766,8211,56,26,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892
0,2016,82.0,19830,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569,82.0,19830,3015,6946,0.434,645,1909,0.338,2370,5037,0.471,1543,2055,0.751,968,2861,3829,1740,583,259,1260,1842,8218,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910
0,2017,82.0,19755,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1062,1626,8911,82.0,19755,3163,6999,0.452,753,2154,0.35,2410,4845,0.497,1480,1917,0.772,837,2700,3537,1891,577,258,1084,1835,8559,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609
0,2018,82.0,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,82.0,19705,3298,7194,0.458,881,2477,0.356,2417,4717,0.512,1457,1864,0.782,871,2706,3577,2015,699,462,1154,1803,8934,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812
0,2019,82.0,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,82.0,19830,3423,7490,0.457,849,2477,0.343,2574,5013,0.513,1677,2159,0.777,925,2826,3751,1976,677,498,1081,1969,9372,48,34,43,39,0.85,0.23,1.09,112.4,111.5,101.7,0.326,0.295,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.224,STAPLES Center,710327
0,2020,72.0,17380,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,1498,1894,0.791,767,2664,3431,1708,511,338,1051,1594,8377,72.0,17380,2846,6494,0.438,886,2566,0.345,1960,3928,0.499,1335,1766,0.756,771,2491,3262,1709,540,338,1013,1647,7913,49,23,50,22,6.44,0.21,6.66,113.9,107.6,101.5,0.295,0.375,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,STAPLES Center,610176
0,2021,72.0,17280,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,1164,1387,0.839,678,2501,3179,1756,509,295,950,1383,8209,72.0,17280,2887,6223,0.464,833,2341,0.356,2054,3882,0.529,1157,1489,0.777,659,2307,2966,1650,510,304,925,1303,7764,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,96.9,0.222,0.4,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,13901
0,2022,82.0,19780,3285,7170,0.458,1047,2802,0.374,2238,4368,0.512,1273,1606,0.793,747,2860,3607,1969,608,406,1126,1528,8890,82.0,19780,3343,7432,0.45,958,2780,0.345,2385,4652,0.513,1244,1606,0.775,984,2881,3865,1975,631,339,1113,1515,8888,42,40,41,41,0.02,0.06,0.09,110.1,110.1,98.0,0.224,0.391,0.531,12.5,20.6,0.178,0.514,12.0,74.4,0.167,Crypto.com Arena,694005
0,2023,82.0,19830,3370,7059,0.477,1041,2735,0.381,2329,4324,0.539,1533,1962,0.781,803,2742,3545,1959,580,364,1167,1598,9314,82.0,19830,3430,7243,0.474,1000,2738,0.365,2430,4505,0.539,1413,1832,0.771,838,2699,3537,2048,640,343,1065,1607,9273,44,38,42,40,0.5,-0.19,0.31,115.0,114.5,98.0,0.278,0.387,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,Crypto.com Arena,720543
