,Year,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,1993,82.0,19855,3311,6762,0.49,236,692,0.341,3075,6070,0.507,1794,2346,0.765,919,2542,3461,2012,582,514,1227,1844,8652,82.0,19855,3290,7177,0.458,270,747,0.361,3020,6430,0.47,1583,2051,0.772,1082,2388,3470,1905,655,373,1131,1998,8433,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,95.4,0.347,0.102,0.507,13.6,27.8,0.265,0.477,12.3,70.1,0.221,HemisFair Arena,658337
0,1994,82.0,19780,3178,6688,0.475,249,714,0.349,2929,5974,0.49,1597,2151,0.742,1189,2597,3786,1896,561,450,1198,1662,8202,82.0,19780,3066,6880,0.446,290,871,0.333,2776,6009,0.462,1349,1875,0.719,1089,2153,3242,1769,632,346,1020,1791,7771,55,27,56,26,5.26,-0.21,5.05,110.4,104.6,90.1,0.322,0.107,0.494,13.6,35.6,0.239,0.467,11.7,70.5,0.196,Alamodome,904190
0,1995,82.0,19855,3236,6687,0.484,434,1158,0.375,2802,5529,0.507,1836,2487,0.738,1029,2661,3690,1919,656,456,1246,1871,8742,82.0,19855,3168,6974,0.454,426,1251,0.341,2742,5723,0.479,1491,2089,0.714,1017,2303,3320,1878,633,408,1182,2063,8253,62,20,57,25,5.96,-0.06,5.9,111.7,105.4,94.6,0.372,0.173,0.516,13.8,30.9,0.275,0.485,13.0,72.3,0.214,Alamodome,920413
0,1996,82.0,19780,3148,6602,0.477,518,1320,0.392,2630,5282,0.498,1663,2261,0.736,937,2586,3523,2044,645,536,1195,1820,8477,82.0,19780,3017,6866,0.439,441,1337,0.33,2576,5529,0.466,1485,2034,0.73,1109,2473,3582,1849,604,428,1257,1972,7960,59,23,58,24,6.3,-0.33,5.98,110.2,103.5,93.3,0.342,0.2,0.516,13.6,27.5,0.252,0.472,13.9,70.0,0.216,Alamodome,782701
0,1997,82.0,19730,2827,6391,0.442,378,1180,0.32,2449,5211,0.47,1386,1929,0.719,1101,2129,3230,1661,646,431,1243,1764,7418,82.0,19730,3002,6379,0.471,552,1425,0.387,2450,4954,0.495,1508,2042,0.738,1048,2302,3350,1955,664,448,1180,1646,8064,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,87.3,0.302,0.185,0.472,14.7,32.4,0.217,0.514,14.0,67.0,0.236,Alamodome,706641
0,1998,82.0,19830,2898,6187,0.468,302,863,0.35,2596,5324,0.488,1489,2164,0.688,984,2638,3622,1839,516,568,1318,1731,7587,82.0,19830,2737,6656,0.411,338,1029,0.328,2399,5627,0.426,1448,1956,0.74,1017,2236,3253,1556,730,378,1045,1845,7260,56,26,53,29,3.99,-0.69,3.3,103.8,99.4,88.4,0.35,0.139,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455
0,1999,50.0,12075,1740,3812,0.456,172,521,0.33,1568,3291,0.476,988,1415,0.698,614,1584,2198,1101,421,351,759,1010,4640,50.0,12075,1631,4061,0.402,170,559,0.304,1461,3502,0.417,805,1148,0.701,696,1407,2103,941,437,243,730,1148,4237,37,13,39,11,8.06,-0.94,7.12,104.0,95.0,88.6,0.371,0.137,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.198,Alamodome,527357
0,2000,82.0,19855,2952,6393,0.462,330,882,0.374,2622,5511,0.476,1652,2214,0.746,927,2666,3593,1819,614,551,1233,1716,7886,82.0,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,645,429,1181,1893,7399,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,90.8,0.346,0.138,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188,Alamodome,884450
0,2001,82.0,19830,2884,6262,0.461,445,1094,0.407,2439,5168,0.472,1673,2340,0.715,902,2712,3614,1778,568,576,1145,1551,7886,82.0,19830,2837,6770,0.419,343,1043,0.329,2494,5727,0.435,1233,1664,0.741,967,2432,3399,1617,600,426,1107,1946,7250,58,24,63,19,7.76,0.16,7.92,106.6,98.0,89.6,0.374,0.175,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176
0,2002,82.0,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,625,537,1180,1575,7932,82.0,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,635,428,1192,1896,7423,58,24,59,23,6.21,0.07,6.28,106.5,99.7,90.0,0.353,0.19,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390
