,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Marcus Camby,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,0.473,0.0,0.729,7.6,0.155,5.1,3.9,97
1,2,Bruce Bowen,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,0.405,0.384,0.589,4.1,0.079,3.6,1.4,103
2,3,Tim Duncan,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23,6.8,3.2,94
3,4,Shawn Marion,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,0.524,0.317,0.81,12.0,0.191,5.3,1.9,100
4,5,Shane Battier,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,0.446,0.421,0.779,9.0,0.144,4.6,2.0,102
5,6,Ben Wallace,32,CHI,1.0,42.0,650,0.065,77,35.0,6.4,10.7,2.4,1.4,2.0,0.453,0.2,0.408,8.2,0.146,6.6,3.3,95
6,7,Gerald Wallace,24,CHA,3.0,27.0,650,0.042,72,36.7,18.1,7.2,2.6,2.0,1.0,0.502,0.325,0.691,7.7,0.141,3.5,1.5,104
7,8,Metta World Peace,27,SAC,1.0,20.0,650,0.031,70,37.7,18.8,6.5,3.4,2.1,0.6,0.44,0.358,0.74,6.7,0.122,3.1,0.9,105
8,9,Tyson Chandler,24,NOK,0.0,15.0,650,0.023,73,34.6,9.5,12.4,0.9,0.5,1.8,0.624,0.0,0.527,7.9,0.15,3.8,0.7,103
9,10,Jermaine O'Neal,28,IND,1.0,11.0,650,0.017,69,35.6,19.4,9.6,2.4,0.7,2.6,0.436,0.0,0.767,4.7,0.091,4.1,1.2,101
10,11T,Emeka Okafor,24,CHA,0.0,10.0,650,0.015,67,34.8,14.4,11.3,1.2,0.9,2.6,0.532,,0.593,7.1,0.147,3.6,0.9,102
11,11T,Tayshaun Prince,26,DET,0.0,10.0,650,0.015,82,36.6,14.3,5.2,2.8,0.6,0.7,0.46,0.386,0.768,8.0,0.128,2.9,-0.4,107
12,13T,Kevin Garnett,30,MIN,0.0,7.0,650,0.011,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,4.9,1.7,101
13,13T,Kirk Hinrich,26,CHI,0.0,7.0,650,0.011,80,35.5,16.6,3.4,6.3,1.3,0.3,0.448,0.415,0.835,10.1,0.171,4.6,1.1,102
14,13T,Andrei Kirilenko,25,UTA,0.0,7.0,650,0.011,70,29.3,8.3,4.7,2.9,1.1,2.1,0.471,0.213,0.728,4.4,0.104,2.9,3.1,103
15,16T,Dwight Howard,21,ORL,1.0,6.0,650,0.009,82,36.9,17.6,12.3,1.9,0.9,1.9,0.603,0.5,0.586,9.7,0.154,5.8,1.1,99
16,16T,Quinton Ross,25,LAC,1.0,6.0,650,0.009,81,21.0,5.2,2.3,1.1,0.9,0.4,0.467,0.2,0.782,3.2,0.09,1.8,1.4,106
17,18T,Udonis Haslem,26,MIA,1.0,5.0,650,0.008,79,31.4,10.7,8.3,1.2,0.6,0.3,0.492,0.0,0.68,5.1,0.099,3.1,-0.8,105
18,18T,Josh Howard,26,DAL,0.0,5.0,650,0.008,70,35.1,18.9,6.8,1.8,1.2,0.8,0.459,0.385,0.827,8.8,0.173,3.8,0.4,102
19,20,Luol Deng,21,CHI,0.0,4.0,650,0.006,82,37.5,18.8,7.1,2.5,1.2,0.6,0.517,0.143,0.777,11.3,0.176,5.6,1.3,100
20,21T,Caron Butler,26,WAS,0.0,3.0,650,0.005,63,39.3,19.1,7.4,3.7,2.1,0.3,0.463,0.25,0.863,5.3,0.103,1.9,-0.2,109
21,21T,Josh Smith,21,ATL,0.0,3.0,650,0.005,72,36.8,16.4,8.6,3.3,1.4,2.9,0.439,0.25,0.693,4.4,0.079,4.0,1.7,102
22,23,Raja Bell,30,PHO,0.0,2.0,650,0.003,78,37.4,14.7,3.2,2.5,0.6,0.3,0.432,0.413,0.776,5.8,0.095,1.6,-0.6,110
23,24T,Kobe Bryant,28,LAL,0.0,1.0,650,0.002,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13.0,0.199,2.2,-0.5,109
24,24T,Devin Harris,23,DAL,0.0,1.0,650,0.002,80,26.0,10.2,2.5,3.7,1.2,0.3,0.492,0.28,0.824,6.5,0.151,2.9,1.6,104
25,24T,Andre Iguodala,23,PHI,0.0,1.0,650,0.002,76,40.3,18.2,5.7,5.7,2.0,0.4,0.447,0.31,0.82,7.7,0.12,3.6,1.1,105
26,24T,Yao Ming,26,HOU,0.0,1.0,650,0.002,48,33.8,25.0,9.4,2.0,0.4,2.0,0.516,0.0,0.862,7.4,0.22,3.4,1.9,98
27,24T,Alonzo Mourning,36,MIA,0.0,1.0,650,0.002,77,20.4,8.6,4.5,0.2,0.2,2.3,0.56,,0.601,3.5,0.107,2.5,1.2,102
28,24T,Anthony Parker,31,TOR,0.0,1.0,650,0.002,73,33.4,12.4,3.9,2.1,1.0,0.2,0.477,0.441,0.835,6.5,0.127,2.1,0.4,108
