,Feature,MI_Score
0,First_votes,0.10754114818068361
1,Dpoy_votes,0.044968913881158756
2,DWS_advanced,0.026769686413674165
3,war_reg_season_raptor,0.020024622252768465
4,VORP_advanced,0.01901126660338992
5,predator_total_raptor,0.018986555609095568
6,WS_advanced,0.01898195001758074
7,war_total_raptor,0.01849289583578373
8,raptor_total_raptor,0.018417862945245833
9,mp_raptor,0.018391042599577245
10,poss_raptor,0.018198078266708828
11,predator_defense_raptor,0.017809635546799374
12,MP_advanced,0.0169293277476934
13,MP_100_poss,0.016778025556930087
14,MP,0.016372823509539947
15,W_misc,0.014006196920603564
16,BPM_advanced,0.013870384493160248
17,WS/48_advanced,0.01376181990040859
18,GS,0.012818652183069768
19,raptor_defense_raptor,0.012057439777522161
20,DRtg_100_poss,0.011656351668570597
21,AST_opponent,0.011103428194646492
22,L_misc,0.011040240576760674
23,TOV,0.009778846410400499
24,MOV_misc,0.009391001356234163
25,DBPM_advanced,0.00922291481431814
26,PF,0.008824185317058086
27,SRS_misc,0.008793857947688721
28,PW_misc,0.008760986021062012
29,PL_misc,0.007733599751096554
30,AST_team,0.0071570403955272255
31,G,0.0071342500862290326
32,PER_advanced,0.007131095403288601
33,OPP PTS 2ND CHANCE_nba,0.006733091112747891
34,TRB,0.006693496282643263
35,BLK_team,0.006245169049337473
36,Age,0.0062183416323482454
37,ORB_opponent,0.0061969173597300475
38,DRB,0.006194203273646837
39,STL,0.006066940392847497
40,2P_opponent,0.005945382386804976
41,TOV%_misc,0.005116384465852386
42,TRB_opponent,0.0050159426064035895
43,SOS_misc,0.004856682015952574
44,DEF RTG_nba,0.004630145700118549
45,OPP PTS FB_nba,0.004347143493008465
46,2P%_opponent,0.0042997151501782405
47,DRtg_misc,0.004078747153165585
48,DRB%_misc,0.0037523816968556556
49,2PA_opponent,0.0037022019301753417
50,TOV_team,0.00367072763816112
51,BLK,0.0036124798898080623
52,GP_nba,0.003598577673632697
53,WINS_espn,0.0035194173864629974
54,pace_impact_raptor,0.0033414142516066114
55,PF_team,0.003281699279304773
56,DEF WS_nba,0.0032586908701843775
57,TOV_100_poss,0.0031714541008105446
58,FG%_opponent,0.0031360621481111295
59,DREB%_nba,0.0030741218360832434
60,OPP PTS OFF TOV_nba,0.002692559838926467
61,PF_100_poss,0.00263471869459031
62,RPM_espn,0.0023935655966733638
63,3PA_opponent,0.0023302362559629586
64,MPG_espn,0.0022770209215539072
65,TOV%.1_misc,0.0021039047633806263
66,BLK%_advanced,0.0020036649899590753
67,GP_espn,0.0019058720411619934
68,STL_nba,0.001401554564933516
69,W_nba,0.001235649402991923
70,3P_opponent,0.0011565129925881212
71,FT%_opponent,0.0007887907957222495
72,FT_opponent,0.0007522141625864176
73,MIN_nba,0.0005810900299461075
74,DRB_100_poss,0.00038106729414111307
75,STL_team,0.0003737610212721787
76,STL%_nba,0.00014558193866864855
77,%DREB_nba,0.0
78,STL%_advanced,0.0
79,DRB_team,0.0
80,TRB_team,0.0
81,FGA_opponent,0.0
82,3P%_opponent,0.0
83,DRB%_advanced,0.0
84,FTA_opponent,0.0
85,DRPM_espn,0.0
86,DREB_nba,0.0
87,TRB%_advanced,0.0
88,BLK_nba,0.0
89,%BLK_nba,0.0
90,OPP PTS PAINT_nba,0.0
91,Pace_misc,0.0
92,BLK_100_poss,0.0
93,D-LEBRON_bball,0.0
94,TRB_100_poss,0.0
95,STL_100_poss,0.0
96,teamates_with_dpoy,0.0
97,Dpoy_titles,0.0
