Feature,Importance
Dpoy_votes,628
DWS_advanced,543
raptor_defense_raptor,538
pace_impact_raptor,518
predator_defense_raptor,483
PER_advanced,442
BLK_100_poss,423
DBPM_advanced,420
DRB,404
BLK,398
mp_raptor,390
BLK_nba,365
BLK%_advanced,356
TRB,340
DREB_nba,307
DRPM_espn,306
RPM_espn,298
WS/48_advanced,295
%BLK_nba,294
BPM_advanced,282
poss_raptor,277
DEF WS_nba,272
MP_100_poss,263
DRtg_100_poss,261
WINS_espn,239
predator_total_raptor,193
TOV,183
OPP PTS 2ND CHANCE_nba,180
DREB%_nba,179
PF,175
WS_advanced,171
VORP_advanced,170
TRB_100_poss,169
%DREB_nba,151
MP,144
DRB_100_poss,132
STL_nba,132
OPP PTS OFF TOV_nba,127
raptor_total_raptor,125
war_total_raptor,124
Age,124
war_reg_season_raptor,121
STL_team,119
MPG_espn,117
MIN_nba,116
DRB%_advanced,113
STL,112
OPP PTS FB_nba,107
OPP PTS PAINT_nba,96
TRB%_advanced,92
PF_100_poss,85
SOS_misc,83
STL%_nba,80
TOV_100_poss,75
BLK_team,74
STL_100_poss,74
2P_opponent,73
DEF RTG_nba,69
AST_opponent,67
PF_team,64
3P%_opponent,59
G,55
MOV_misc,53
TRB_opponent,53
TOV%.1_misc,53
GS,52
TOV_team,50
W_nba,49
FT%_opponent,49
TOV%_misc,48
2PA_opponent,47
Dpoy_titles,47
DRB_team,46
Pace_misc,45
L_misc,44
FGA_opponent,44
DRB%_misc,42
AST_team,41
FT_opponent,39
TRB_team,38
DRtg_misc,36
SRS_misc,35
ORB_opponent,33
FG%_opponent,32
PL_misc,29
3PA_opponent,29
3P_opponent,28
FTA_opponent,27
PW_misc,26
2P%_opponent,24
W_misc,24
GP_espn,22
GP_nba,13
teamates_with_dpoy,7
STL%_advanced,0
MP_advanced,0
won_dpoy_last_season,0
D-LEBRON_bball,0
