Feature,Importance
DEF WS_nba,1373
D-LEBRON_bball,928
DWS_advanced,791
BLK,462
Dpoy_votes,444
BLK_nba,384
W_nba,363
DRPM_espn,319
DBPM_advanced,252
predator_defense_raptor,246
WINS_espn,241
RPM_espn,234
WS_advanced,212
SOS_misc,209
STL_nba,204
BLK_100_poss,187
PER_advanced,186
DREB_nba,185
raptor_defense_raptor,184
TOV_100_poss,180
DRtg_misc,175
pace_impact_raptor,162
BLK_team,159
Dpoy_titles,159
Age,155
VORP_advanced,146
TRB_team,142
GS,141
OPP PTS FB_nba,136
TRB,134
STL%_nba,134
%BLK_nba,134
DRB,130
TOV%.1_misc,128
DEF RTG_nba,121
TOV,119
STL,119
FT%_opponent,116
WS/48_advanced,116
poss_raptor,115
PF_100_poss,115
MP_100_poss,113
STL_team,111
AST_team,110
AST_opponent,110
DRB_team,109
ORB_opponent,109
OPP PTS PAINT_nba,109
DRB%_misc,108
war_total_raptor,108
BLK%_advanced,107
OPP PTS OFF TOV_nba,105
2P%_opponent,105
war_reg_season_raptor,104
mp_raptor,103
3P%_opponent,102
2P_opponent,101
predator_total_raptor,100
PF,99
OPP PTS 2ND CHANCE_nba,99
BPM_advanced,98
SRS_misc,98
FGA_opponent,97
MP,95
raptor_total_raptor,93
TOV_team,93
STL_100_poss,93
Pace_misc,91
2PA_opponent,89
FT_opponent,87
3PA_opponent,87
PF_team,86
MOV_misc,83
TRB_100_poss,82
L_misc,82
DRtg_100_poss,77
G,77
FG%_opponent,74
%DREB_nba,73
W_misc,73
TRB_opponent,73
GP_espn,72
DRB%_advanced,70
TOV%_misc,69
won_dpoy_last_season,68
TRB%_advanced,60
FTA_opponent,59
3P_opponent,57
PL_misc,54
MPG_espn,54
DRB_100_poss,47
DREB%_nba,46
PW_misc,44
MIN_nba,22
teamates_with_dpoy,19
GP_nba,6
MP_advanced,0
STL%_advanced,0
