Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,1,3,2,1,1,2,-1.0,3T,1,6,4,1,2,1,8,14,1,3,21,1.0,4,1,1,15T,3.0,1.0,1.0,3.0,9T
1,4,4,5,4,3,5T,1,1,4,2,-1,2,1,2,2,-1,10.0,2.0,2,13T,1,2,2.0,1.0,2.0,2,9.0,-1.0,5.0
3,2,6,-1.0,2,2,1,1,-1,3,3,9,5,6,10,1,1,2,5,3.0,10.0,3.0,3,-1.0,3,1.0,3.0,-1,-1.0,1.0
-1.0,6T,-1.0,4,3,-1,3T,7,-1,-1,-1,10,6,3,3,7,-1,17,4,-1,13T,8,4.0,-1,-1.0,-1,11,6.0,-1,2.0
-1.0,3,5,-1,5T,4,7,8T,2,8,-1.0,-1,3,-1.0,4,6,-1,18,9.0,1,5,-1.0,10,5T,15T,4,-1,-1,-1.0,6.0
-1.0,-1.0,2,1,5T,7T,-1,3,-1,-1,3,-1.0,-1.0,-1,-1,-1,4,5,-1,14,4.0,6.0,-1,-1.0,-1.0,-1,-1,11T,9,-1
-1.0,5,1,3,5T,5T,3T,-1,-1,11,7,5,7,-1,12,16T,6,9,7,6,7.0,10T,11T,-1.0,-1,5.0,-1.0,7,-1.0,3.0
-1,6T,7,6T,-1.0,7T,-1,-1.0,-1.0,13T,-1.0,11,13T,-1,9,4,12,-1,12T,-1,6,-1,-1.0,-1,8.0,-1,10.0,-1.0,6.0,-1.0
-1.0,-1,8T,-1,9T,-1,8T,-1.0,-1,-1.0,4,2,-1.0,13T,6,5,3,6.0,-1,8.0,-1,13T,-1,-1,-1,-1.0,8T,3,-1,9T
-1.0,-1,8T,-1,11T,-1,-1.0,2,3T,6,5,7,13T,-1.0,5,10,5,12T,18T,11,2.0,7.0,13T,-1,6,6T,-1,-1,-1,-1
