Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,4,3,-1,4,-1,3T,8T,3T,1,2,5,1,6,12,8,1,1,5,-1,1.0,8,2,1,-1,3.0,3.0,1.0,3.0,9T
2,-1.0,7,3,2,-1,8T,5T,1,11,6,-1,5,2,6,-1,14,2,3,14,10.0,1,1,2.0,8.0,1.0,2,9.0,-1.0,6.0
-1.0,2,4,5,3,-1,2,3,2,-1,7,-1,6,3,-1,6,-1,25,4,6,13T,4,-1,-1,14.0,-1,8T,3,-1,5.0
-1,-1,6,4,1,-1,5T,7,-1,4,1,10,7,13T,1,1,5,6.0,12T,2,4.0,10T,-1,-1,1.0,-1,-1,6.0,10,-1
7T,1,-1,-1,5T,4,-1,-1,-1,11,-1,-1,3,1,2,-1,10T,5,12T,-1,13T,15T,4.0,3,6,6T,10.0,7,11,3.0
-1.0,3,-1,2,5T,3,-1,2,-1,3,10T,1,-1,4,-1,5,4,3,-1,-1,11,-1.0,13T,4.0,3,-1,1.0,4.0,1,2.0
-1.0,6T,2,6T,5T,7T,8T,-1,-1,-1,10T,9,9,8,16T,7,10T,17,10,5.0,2.0,2,3,-1.0,-1.0,-1,-1.0,2.0,9,-1
-1.0,6T,1,1,5T,2,1,8T,-1,8,4,-1.0,10T,-1,9,-1,6,12T,18T,21,-1,7.0,-1.0,5T,-1.0,2.0,-1.0,-1,4.0,-1.0
4,-1,5,-1,9T,7T,7,11T,-1,-1,5,18T,13T,11T,-1,16T,10T,16,7,11,7.0,-1.0,11T,-1.0,15T,4,-1,-1,7.0,9T
9,-1,8T,-1,-1,5T,8T,-1,-1,13T,-1,4,13T,-1,-1,-1,-1,9,-1,9,8T,13T,-1,-1,15T,-1,4.0,5.0,-1,1.0
