Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1.0,4,8T,8T,-1,4,2,4,13T,-1.0,7T,2,1,1,3,-1,1.0,2,1,2.0,3,1.0,2,1.0,-1.0,-1.0
-1.0,-1,2,3,-1,6,4,5,-1,-1,5,1,-1,10.0,5,21,11,1,2,1,1.0,3.0,1.0,-1.0,-1.0,-1.0
-1.0,-1,-1,2,-1,8,7,8,-1,-1,9,6,-1,2,-1,14,13T,4,3,-1,15T,-1,3.0,-1.0,-1.0,-1.0
-1.0,1,7,-1,2,13T,-1,-1,-1.0,3,1,-1,4,6.0,7,-1,5,5.0,5.0,-1,-1.0,-1,8T,7,3.0,3.0
-1.0,7T,5T,5T,1,3,1,1,6,13T,6,-1,12,5,4,1,7.0,-1.0,10,-1.0,15T,2.0,8T,3,-1,9T
-1.0,-1,-1,-1,-1,-1,6,9,1,6,-1,3,10T,25,9.0,4.0,10.0,10T,-1.0,-1.0,14.0,-1,-1,-1,-1.0,-1.0
-1.0,-1,-1,-1,3T,9,-1,-1,7,4,-1,5,10T,15.0,18T,6,4.0,8,-1,-1.0,2,-1,6T,-1,-1.0,-1
4,7T,-1,11T,3T,1,-1.0,10,-1,2,2,11,3,-1.0,10,-1.0,13T,15T,-1.0,-1.0,-1.0,6T,-1,5.0,-1.0,5.0
11T,5T,3T,-1.0,-1,-1,-1,11,4,-1.0,-1.0,-1,7.0,-1.0,12T,8.0,8T,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,6.0
5T,3,-1,-1,-1,-1,-1,7,4,16T,-1,16T,14,8,-1.0,5.0,-1.0,7.0,-1,5T,-1.0,-1,10.0,6.0,-1.0,2.0
