Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,2,5T,-1,1,11,1,1,1,-1,7T,1,1,1,3,1,1.0,2,3,2.0,1.0,1.0,1.0,1.0,3.0,1.0
1,3,3T,-1,-1,11,2,-1,-1,6,2,2,4,2,2.0,3.0,7.0,1,1,1,15T,2.0,3.0,9.0,-1.0,-1.0
-1,7T,-1,1,3T,-1,-1,9,4,1,1,6,-1,-1.0,5,14,11,4,2,-1,6,5.0,-1.0,-1.0,-1.0,2.0
-1.0,1,1,1,-1,1,-1,-1,4,3,-1.0,3,17T,10.0,-1.0,21,10.0,3.0,5.0,3,-1.0,-1,11,-1.0,-1.0,9T
-1.0,4,-1,-1,-1,3,-1,-1,8,-1.0,-1,8,10T,-1.0,12T,8.0,-1.0,8,-1.0,-1.0,3,-1.0,2,5.0,-1.0,-1.0
5T,-1.0,2,11T,-1,4,6,-1,-1,4,-1,-1,7.0,-1.0,9.0,-1.0,-1,5.0,10,5T,-1.0,-1,10.0,3,10,-1.0
4,-1.0,-1.0,-1.0,-1.0,-1,7,10,-1.0,-1,-1,-1,2,6.0,7,-1,3.0,-1.0,4.0,-1,14.0,-1,8T,-1,-1.0,3.0
5T,-1.0,-1,3,-1,-1.0,5,18T,-1.0,-1,-1,-1,12,-1.0,10,6,-1.0,15T,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1
3,-1.0,3T,5T,-1,2,-1,4,5,13T,9,-1.0,-1.0,25,-1.0,4.0,-1.0,7.0,-1.0,-1,-1,6T,-1,-1,-1.0,-1.0
-1.0,-1.0,7,5T,-1,-1.0,4,-1,10T,-1.0,12,16T,6,-1.0,-1.0,-1,5,10T,-1.0,-1.0,-1.0,6T,6T,-1,5.0,-1.0
