Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,1,-1,1,-1,-1,1,6,-1,5,6,3,1,1,1,7,1,1.0,1,1,1,1.0,1.0,3.0,1.0,3.0,9T
2,2,6,-1,2,1,5T,1,1,-1,2,4,3,2,4,8,-1,2,2.0,3.0,4.0,3.0,3,2.0,8.0,2.0,1.0,5.0,6.0,2.0
4,3,-1.0,1,5T,4,2,1,-1,13T,1,9,7,-1,2,-1,-1,12T,12T,13,3.0,4,4.0,-1.0,3,-1.0,2,9.0,-1.0,4
7T,4,1,5,3,5T,3T,8T,2,4,-1,18T,6,1,16T,6,4,10.0,18T,8.0,7.0,-1,2,5T,6,3.0,8T,6.0,5.0,-1.0
-1,6T,4,4,4,-1,7,7,3T,-1,7,-1,1,3,1,-1,6,16,-1.0,-1,8T,5.0,10,-1,15T,-1,10.0,3,-1.0,6.0
9,5,5,6T,9T,-1,3T,2,-1,5.0,3,10,2,4,10,2,10T,25,-1.0,6,5,2,-1,3,15T,5.0,-1.0,-1,1,-1.0
3,6T,2,-1,5T,7T,8T,11T,3T,3,3,-1,-1,13T,-1,-1.0,2,6.0,10,2,8T,10T,-1.0,-1.0,14.0,-1,11,11T,10,-1.0
10,-1,7,3,5T,2,-1,11T,-1,-1.0,5,18T,13T,5,12,7,12,9,6.0,14,13T,15T,-1,-1,-1,-1,-1.0,2.0,-1.0,-1.0
6,-1,8T,-1.0,11T,7T,8T,3,-1,11,-1.0,2,10T,11T,5,-1,10T,-1,4,21,2.0,15T,-1,-1.0,-1.0,6T,-1.0,-1,-1,-1.0
-1,-1,-1,-1,-1,-1.0,8T,5T,-1,6,-1,11,9,-1,7T,5,-1,3,-1,7.0,-1.0,-1.0,11T,-1.0,-1.0,6T,-1,-1.0,4.0,-1.0
