Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,1,1,1,-1,1,1,2,-1,1,6,1,1,1,1,2.0,1,1.0,1,3,1,3,1.0,1.0,1.0,3.0,1.0
2,4,4,5,2,7T,3T,5T,3T,-1,6,-1.0,5,21T,2,2,4,25,10,-1,8T,10T,4.0,3,-1,-1,2,5.0,6.0,6.0
4,2,6,-1,4,-1,5T,1,-1,4,7,9,3,1,4,8,-1,-1,5,14,13T,-1,1,-1,1.0,-1,3.0,9.0,-1.0,3.0
7T,3,2,1,3,3,2,11T,-1,13T,10T,-1,13T,-1,6,-1,14,-1,-1,-1,13T,2,11T,5T,6,6T,11,3,-1.0,2.0
3,5,7,6T,11T,2,7,8T,3T,-1.0,-1,5,2,10.0,12,6,-1.0,10.0,7,2,7.0,13T,13T,-1,-1.0,-1.0,-1.0,-1.0,1,-1.0
-1,6T,5,3,-1,4,-1,1,2,5.0,3,21T,4,3,3,7,10T,5,-1,3.0,4.0,3.0,-1,-1,5,-1,10.0,-1,5.0,4
10,-1,-1,4,5T,7T,-1,11T,-1,-1.0,1,1,6,4,7T,13T,6,16,11.0,13,8T,12.0,2,-1.0,-1,5.0,-1,-1.0,-1.0,5.0
9,-1,1,-1.0,11T,5T,8T,11T,-1.0,2,-1,10,7,-1,-1,-1,12,6.0,18T,4.0,5,4,7.0,-1,-1,-1,8T,2.0,-1,-1.0
-1,6T,8T,-1,11T,7T,8T,2,-1,13T,9,11,8,5,-1.0,5,2,-1,12T,5.0,-1,-1,-1.0,2.0,-1.0,-1,6T,-1.0,-1.0,-1.0
7T,-1,-1.0,-1,5T,7T,8T,-1,-1,-1,3,6.0,4,8,9,-1,5,9,4,16,6,8,9,-1,15T,3.0,4.0,8,-1.0,-1
