Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,-1,3T,4,1,-1,1,-1,2,2,1,1,3,14,1.0,-1,3,-1.0,6,1.0,1.0,1.0,3.0,2.0
2,4,7,1,1,-1,2,1,4,3,7T,6,-1.0,10.0,5,1,7.0,6.0,2,-1.0,15T,2.0,3.0,-1,-1.0,1.0
1,7T,5T,8T,-1,1,-1,-1,4,24T,-1.0,1,5,-1.0,2.0,-1,5,10T,5.0,-1,3,-1.0,11,3,-1,9T
4,2,8T,2,-1,13T,7,4,7,13T,-1.0,-1,-1,17,9.0,21,4.0,8,11T,1,8.0,-1,10.0,9.0,-1.0,-1.0
-1,5T,-1,1,2,3,-1,5,-1,6,7T,10,10T,2,10,3.0,13T,1,4.0,3,1.0,-1,2,-1,-1.0,-1.0
-1,-1,3T,-1,-1,13T,6,9,13T,4,-1,3,4,5,-1.0,6,13T,4,1,-1,14.0,6T,-1.0,-1,-1.0,6.0
-1,7T,3T,-1,-1,6,-1,18T,6,1,6,8,3,18,4,-1.0,2.0,13T,-1.0,-1,-1,-1.0,-1.0,5.0,-1.0,7T
-1,7T,8T,-1,3T,5.0,-1,8,-1,8,-1,-1,2,11,12T,10.0,8T,15T,-1.0,5T,-1.0,3.0,-1.0,-1,-1.0,-1.0
-1,7T,-1,3,-1,8,10T,6.0,8,5,-1,-1.0,10T,6.0,-1.0,-1,-1.0,2,-1.0,-1.0,-1.0,5.0,6T,11T,-1.0,-1
5T,-1,-1,-1,-1,-1,10T,11,5,16T,-1,5,14,19T,7,2,6,-1.0,-1.0,-1.0,4.0,6T,-1,-1.0,6.0,5.0
