Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,1,2,1,2,1,-1,3T,1,2,10,1,6,1,1,1,1,-1.0,3.0,1.0,3.0,1,1,-1.0,1.0,3.0,1.0,3.0,1.0
4,3,3,1,2,1,3T,-1,-1,-1,6,9,5,4,6,8,10T,2,-1,1,4.0,10T,3,2.0,1.0,2.0,11,9.0,6.0,6.0
7T,2,5,-1,-1,3,5T,1,-1,4,5,4,-1.0,1,2,-1,4,25,2.0,14,-1.0,4,2,-1,15T,5.0,8T,5.0,1,-1.0
2,-1,4,4,11T,7T,-1,1,1,-1,-1,14T,3,3,16T,-1.0,-1,12T,-1.0,8.0,15T,1,4.0,3,-1.0,-1,-1.0,3,-1.0,2.0
-1.0,4,-1.0,-1.0,3,4,2,5T,-1,-1.0,7,-1.0,10T,21T,9,6,7.0,6.0,10,-1,-1,8,10,5T,-1,3.0,2,6.0,9,-1
-1.0,-1,-1,3,-1,-1.0,-1,5T,-1.0,3,1,18T,8,8,-1.0,5,10T,5,12T,4.0,8T,-1.0,7.0,-1,-1.0,-1,10.0,-1,-1.0,-1.0
5,-1.0,6,-1.0,5T,5T,-1,3,-1.0,-1.0,-1,-1.0,-1.0,13T,3,-1,10T,-1,4,21,5,15T,-1.0,-1,8.0,-1,1.0,11T,-1,9T
3,-1.0,-1.0,-1.0,4,-1.0,-1.0,-1,-1,-1.0,-1.0,11,7,-1,-1.0,10,2,10.0,-1.0,-1.0,3.0,-1.0,5.0,-1,-1.0,6T,6T,10,5.0,11.0
-1,-1.0,2,6T,-1.0,-1,7,-1.0,-1,-1.0,-1,-1.0,2,-1.0,-1,11,5,-1.0,-1.0,-1.0,7.0,-1.0,-1,-1.0,-1.0,6T,-1.0,-1.0,4.0,9T
9,-1.0,-1.0,-1.0,-1.0,-1.0,5T,11T,2,-1.0,-1.0,-1.0,4,-1,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1,-1.0,-1.0,7,8,-1.0,-1.0,-1.0,-1
