Feature,correlation,p-value
DWS_advanced,0.3108428106848374,1.3507317409431458e-59
Dpoy_votes,0.2947675887955716,1.683127570080359e-53
Dpoy_titles,0.2934149425125678,5.266368908701171e-53
war_total_raptor,0.2771708170338525,2.90256910583518e-47
WINS_espn,0.2752915455837003,1.266169264855836e-46
BLK_nba,0.2687843477125629,1.900535433046784e-44
VORP_advanced,0.2642011004134778,5.970545786550004e-43
BLK,0.26271770444757053,1.795909902349182e-42
war_reg_season_raptor,0.25944038293351007,1.9957263675685024e-41
WS_advanced,0.2543539109683089,7.831063749067285e-40
raptor_defense_raptor,0.22539806810194973,1.987263440612894e-31
DREB_nba,0.22300979771376386,8.742635614074043e-31
DRB,0.22245006965748224,1.2340969096579127e-30
TRB,0.21711513607938815,3.145811739913875e-29
predator_defense_raptor,0.20170846074550178,2.2530040264018804e-25
RPM_espn,0.1996303170933965,7.071610980287261e-25
DEF WS_nba,0.19171976455115772,4.9032511618092176e-23
D-LEBRON_bball,0.19145163565962686,5.642912926785349e-23
DRPM_espn,0.17881702710961683,3.350275175668052e-20
raptor_total_raptor,0.17463482114841594,2.509475966568255e-19
predator_total_raptor,0.16693446716142307,8.98637265914069e-18
GS,0.1519120746457498,5.997045083981713e-15
mp_raptor,0.1513346038989609,7.604742409349267e-15
poss_raptor,0.14879870029844897,2.1346373069904106e-14
DRtg_100_poss,-0.13938570433192063,8.437135439419341e-13
TOV,0.13770347556755896,1.5868019263251599e-12
MP_advanced,0.13737275031355062,1.7949928233838537e-12
MP_100_poss,0.13737275031355062,1.7949928233838537e-12
W_nba,0.1338493925894851,6.553200120483193e-12
PER_advanced,0.12678608244875264,7.943925783073531e-11
DRB_100_poss,0.12563545674482834,1.177697001794664e-10
STL_nba,0.12459286648270386,1.6774344618937883e-10
BPM_advanced,0.12190579224285526,4.1183925792914037e-10
STL,0.1204809236717321,6.579270507112545e-10
DBPM_advanced,0.12022232606285047,7.158953492238038e-10
DREB%_nba,0.11888018462685919,1.1064614107614595e-09
MP,0.11883819530341856,1.1215491553278766e-09
MIN_nba,0.11770139383376886,1.6154452916565174e-09
WS/48_advanced,0.1174609857567356,1.7442744314425359e-09
MPG_espn,0.11728818985193146,1.842996752122127e-09
DRB%_advanced,0.11713939928120064,1.9323469563822325e-09
%BLK_nba,0.11663867928340996,2.2651097941976144e-09
%DREB_nba,0.10921785573379507,2.2077533143367352e-08
OPP PTS OFF TOV_nba,0.106953677140052,4.296361832960225e-08
BLK_100_poss,0.10693347258154384,4.321701381822099e-08
BLK%_advanced,0.10585038502207675,5.913959319315179e-08
DRtg_misc,-0.10550785820224472,6.526507221379308e-08
FG%_opponent,-0.10372568633860833,1.0844950343246978e-07
TRB_100_poss,0.10306298512979285,1.3071238046249417e-07
2P%_opponent,-0.10258744154396814,1.493473610064721e-07
TRB%_advanced,0.10210519397404778,1.70856766115223e-07
PF,0.09874590583303455,4.289127546401336e-07
OPP PTS 2ND CHANCE_nba,0.09799248532090364,5.251326191286993e-07
MOV_misc,0.09671447711172605,7.377445549965204e-07
PL_misc,-0.0944284792624063,1.3408976057516569e-06
PW_misc,0.09439418303366821,1.35283205822256e-06
SRS_misc,0.0942265510558202,1.412649133284116e-06
OPP PTS PAINT_nba,0.08898398772316275,5.269617978796412e-06
G,0.08879620105239001,5.51681043363669e-06
L_misc,-0.08772879690124705,7.146693553764219e-06
W_misc,0.0876567031061409,7.2719706781717086e-06
GP_nba,0.08054474088666613,3.7822243688489585e-05
GP_espn,0.08022209081058905,4.063548697678912e-05
OPP PTS FB_nba,0.07822789024479457,6.294128768526047e-05
SOS_misc,-0.07244948761109854,0.0002112933212708836
DRB%_misc,0.07155978402958492,0.00025270879006979136
pace_impact_raptor,-0.06267809997932641,0.0013537283529527512
FT%_opponent,-0.05543177460227472,0.004607417419949103
3P%_opponent,-0.05319546381508246,0.006551874867981953
AST_opponent,-0.05301513544410433,0.0067369917291682305
DRB_team,0.041570543761346265,0.03366426073302729
STL%_nba,0.04053949953827176,0.038326597671870286
2P_opponent,-0.03576591860162649,0.06765851945932524
TOV_100_poss,0.033365821466317225,0.08827220516953045
3P_opponent,-0.03177105982927983,0.1045748250792823
BLK_team,0.031688889970412686,0.10547559527489159
PF_100_poss,-0.031037099657215454,0.11284039205132229
TOV%_misc,0.030825963033141238,0.11531108387031055
ORB_opponent,-0.029768520733560677,0.12833040442962748
STL%_advanced,0.02958720148937675,0.13067329602728928
STL_100_poss,0.02958720148937675,0.13067329602728928
FT_opponent,-0.0286828339727907,0.14285722118071642
TRB_opponent,-0.023965417963681433,0.22088696084644044
FTA_opponent,-0.02294751410063016,0.2411313500444637
TRB_team,0.019183465646819227,0.327156982038602
Pace_misc,-0.01603134343519853,0.4128839453143254
3PA_opponent,-0.01565318350563277,0.4239938889006438
AST_team,-0.015431130373677202,0.43059820680725713
TOV%.1_misc,0.013797764713109823,0.48097618512187446
PF_team,-0.012943879574939126,0.5085375218777088
DEF RTG_nba,0.011945369892369526,0.5417867303986293
STL_team,0.010058781792584116,0.6074268202477233
FGA_opponent,-0.0062138035463375286,0.7509677116838963
TOV_team,0.005511314884235784,0.7783390823176908
2PA_opponent,-0.0019482693085441539,0.9207373324276598
Age,0.001575329312081799,0.9358733209554472
teamates_with_dpoy,0.000417462893668569,0.9829893667914965
