Feature,Importance
DWS_advanced,0.41584158
predator_defense_raptor,0.20625582
DBPM_advanced,0.07121392
2P_opponent,0.03480471
raptor_defense_raptor,0.02757219
BLK_team,0.026162483
BLK_100_poss,0.025723452
VORP_advanced,0.0223267
WINS_espn,0.021273822
W_misc,0.020990744
BLK,0.014508831
Dpoy_titles,0.014374616
TRB,0.013184433
STL_nba,0.009861885
D-LEBRON_bball,0.008361717
2PA_opponent,0.0077525442
Dpoy_votes,0.0074770385
TRB_opponent,0.0074018384
DRtg_100_poss,0.0053031207
G,0.005066315
PF_100_poss,0.004937345
BLK%_advanced,0.002999832
pace_impact_raptor,0.0029273203
AST_team,0.0026172718
won_dpoy_last_season,0.0020932057
DRB_team,0.0020448966
PF,0.001923588
DEF WS_nba,0.0014397033
predator_total_raptor,0.0013923281
STL%_nba,0.0013917487
STL,0.0013459132
teamates_with_dpoy,0.0012989804
STL_team,0.001173785
DREB%_nba,0.001112107
3P_opponent,0.0008920912
DRB,0.00083210575
ORB_opponent,0.00079288764
WS_advanced,0.00057663536
FT%_opponent,0.0005029506
PER_advanced,0.00023552256
SOS_misc,0.00017974843
STL_100_poss,0.0001762199
MP,0.00016366217
OPP PTS FB_nba,0.00016181542
OPP PTS 2ND CHANCE_nba,0.00012180886
war_total_raptor,0.00011849163
WS/48_advanced,0.000102946695
TOV,9.8116514e-05
mp_raptor,8.45348e-05
DRB_100_poss,8.3974955e-05
MP_100_poss,5.95551e-05
MOV_misc,5.922206e-05
TOV%_misc,5.5219745e-05
war_reg_season_raptor,5.246159e-05
DRB%_advanced,5.210134e-05
FT_opponent,5.009705e-05
TOV%.1_misc,3.9992075e-05
DEF RTG_nba,3.742393e-05
FGA_opponent,2.9480867e-05
Age,2.905171e-05
%BLK_nba,2.7073176e-05
SRS_misc,2.4244075e-05
MPG_espn,2.2415556e-05
Pace_misc,2.1080128e-05
RPM_espn,1.8442295e-05
AST_opponent,1.7545168e-05
TRB_team,1.4492303e-05
2P%_opponent,1.1524519e-05
TOV_team,1.065007e-05
DREB_nba,1.0369216e-05
DRPM_espn,9.041324e-06
BLK_nba,8.724755e-06
FG%_opponent,7.786495e-06
TRB_100_poss,7.0819583e-06
OPP PTS PAINT_nba,6.7109872e-06
3PA_opponent,6.2469644e-06
GP_espn,5.2804157e-06
OPP PTS OFF TOV_nba,5.2737078e-06
DRB%_misc,5.001135e-06
W_nba,4.282326e-06
PW_misc,3.6602942e-06
DRtg_misc,2.3062612e-06
BPM_advanced,1.9666506e-06
3P%_opponent,1.6288651e-06
GS,1.1357299e-06
PF_team,5.56294e-07
raptor_total_raptor,3.9840793e-07
%DREB_nba,2.5493455e-07
poss_raptor,2.3076899e-07
FTA_opponent,2.2960918e-07
MIN_nba,1.9245982e-07
TOV_100_poss,1.8711647e-07
TRB%_advanced,7.143736e-08
L_misc,5.6903747e-08
GP_nba,2.6909417e-09
STL%_advanced,0.0
PL_misc,0.0
MP_advanced,0.0
